index,segment,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,tcp_x,tcp_y,tcp_z,surface_min_z,table_clearance_estimate,table_clearance_warning
10,start_to_mid,0.0632911392573423,-0.5556962025198968,1.3430379746686032,0.050632911405653895,0.9556962025196568,-0.04430379748001987,3.6263151600204733,-31.83904709583715,76.95040767430893,2.901052128003777,54.75735890105633,-2.538420612007471,0.70780633664738,-0.20637089759223662,0.33822526340038317,0.05300140875577926,0.05300140875577926,False
11,start_to_mid,0.06962025318307652,-0.5512658227718864,1.3373417721354635,0.05569620254621928,0.9512658227716225,-0.04873417722802185,3.98894667602252,-31.58520503463592,76.6240393099083,3.1911573408041543,54.50351683985373,-2.792262673208217,0.7102826325313477,-0.2021792391597932,0.3445302311708021,0.05300140875577926,0.05300140875577926,False
12,start_to_mid,0.07594936710881076,-0.5468354430238761,1.3316455696023237,0.06075949368678467,0.9468354430235881,-0.05316455697602384,4.351578192024568,-31.331362973434697,76.29767094550766,3.4812625536045316,54.249674778651126,-3.0461047344089645,0.7126647862506583,-0.19796858758618396,0.3508685223261607,0.05300140875577926,0.05300140875577926,False
13,start_to_mid,0.08227848103454498,-0.5424050632758658,1.3259493670691842,0.06582278482735006,0.9424050632755538,-0.05759493672402582,4.7142097080266145,-31.07752091223347,75.97130258110704,3.7713677664049094,53.99583271744853,-3.2999467956097113,0.7149520957044154,-0.1937404472410264,0.3572392602440848,0.05300140875577926,0.05300140875577926,False
14,start_to_mid,0.08860759496027922,-0.5379746835278555,1.3202531645360445,0.07088607596791545,0.9379746835275194,-0.06202531647202781,5.076841224028662,-30.82367885103225,75.6449342167064,4.061472979205287,53.741990656245925,-3.5537888568104585,0.7171438895285285,-0.18949633682741532,0.36364155817664534,0.05300140875577926,0.05300140875577926,False
15,start_to_mid,0.09493670888601344,-0.5335443037798452,1.3145569620029047,0.07594936710848083,0.9335443037794852,-0.0664556962200298,5.439472740030709,-30.569836789831026,75.31856585230577,4.351578192005664,53.48814859504333,-3.8076309180112053,0.7192395274741711,-0.18523778878302033,0.37007451943176994,0.05300140875577926,0.05300140875577926,False
16,start_to_mid,0.10126582281174767,-0.5291139240318349,1.3088607594697652,0.08101265824904623,0.929113924031451,-0.07088607596803179,5.802104256032757,-30.3159947286298,74.99219748790514,4.6416834048060425,53.23430653384074,-4.061472979211953,0.7212384007735212,-0.18096634867247413,0.3765372375578732,0.05300140875577926,0.05300140875577926,False
17,start_to_mid,0.10759493673748191,-0.5246835442838245,1.3031645569366255,0.08607594938961162,0.9246835442834166,-0.07531645571603378,6.164735772034804,-30.06215266742857,74.66582912350451,4.93178861760642,52.98046447263813,-4.3153150404127,0.7231399324925637,-0.17668357457132652,0.38302879653166194,0.05300140875577926,0.05300140875577926,False
18,start_to_mid,0.11392405066321613,-0.5202531645358142,1.2974683544034857,0.091139240530177,0.9202531645353823,-0.07974683546403576,6.527367288036851,-29.808310606227348,74.33946075910387,5.221893830406797,52.726622411435535,-4.569157101613447,0.7249435778707436,-0.17239103644183934,0.38954827094906286,0.05300140875577926,0.05300140875577926,False
19,start_to_mid,0.12025316458895037,-0.5158227847878039,1.291772151870346,0.0962025316707424,0.915822784787348,-0.08417721521203775,6.889998804038899,-29.554468545026126,74.01309239470324,5.511999043207176,52.47278035023294,-4.822999162814194,0.7266488246472635,-0.16809031550090814,0.39609472621922526,0.05300140875577926,0.05300140875577926,False
20,start_to_mid,0.1265822785146846,-0.5113924050397936,1.2860759493372065,0.10126582281130779,0.9113924050393136,-0.08860759496003974,7.2526303200409465,-29.3006264838249,73.68672403030261,5.802104256007554,52.21893828903033,-5.076841224014942,0.7282551933738336,-0.16378300358039816,0.4026672187615488,0.05300140875577926,0.05300140875577926,False
21,start_to_mid,0.1329113924404188,-0.5069620252917832,1.2803797468040667,0.10632911395187317,0.9069620252912793,-0.0930379747080417,7.6152618360429924,-29.046784422623677,73.36035566590198,6.092209468807931,51.965096227827736,-5.330683285215687,0.7297622377136715,-0.1594707024801868,0.4092647962056808,0.05300140875577926,0.05300140875577926,False
22,start_to_mid,0.13924050636615304,-0.5025316455437729,1.2746835442709272,0.11139240509243856,0.902531645543245,-0.0974683544560437,7.97789335204504,-28.792942361422455,73.03398730150136,6.3823146816083085,51.71125416662514,-5.584525346416434,0.7311695447265765,-0.15515502331421147,0.41588649759443347,0.05300140875577926,0.05300140875577926,False
