t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz
3.490659,0.93313533,-0.15404618,1.40133715,-0.01532502,1.57078528,0.93314999,-0.02062825,0.02470919,0.02887604,0.00492458,-0.00004303,-0.02049441,0.48750941,0.33714434,0.53952892,3.14153140,-0.00006412,1.57078181
3.532070,0.93228066,-0.15302280,1.40255487,-0.01512695,1.57078171,0.93229532,-0.02186642,0.02649066,0.03245242,0.00502198,0.00000055,-0.02200074,0.48750924,0.33633873,0.53953259,3.14152634,-0.00006493,1.57078181
3.573219,0.93133068,-0.15186004,1.40401483,-0.01491053,1.57078528,0.93133432,-0.02169926,0.02623761,0.03202519,0.00498015,0.00004349,-0.02201097,0.48749626,0.33552915,0.53950209,3.14157082,-0.00001103,1.57079260
3.614586,0.93049073,-0.15085866,1.40519595,-0.01471613,1.57078528,0.93047965,-0.02046767,0.02414544,0.02822112,0.00474026,-0.00000000,-0.02064512,0.48749421,0.33463901,0.53950560,3.14156842,-0.00001392,1.57080738
3.656013,0.92963606,-0.14986095,1.40635133,-0.01451806,1.57078528,0.92962503,-0.02070814,0.02433578,0.02862596,0.00469032,0.00000000,-0.02057462,0.48749984,0.33384682,0.53952375,3.14154418,-0.00004628,1.57080738
3.697484,0.92877406,-0.14884125,1.40756905,-0.01432732,1.57078528,0.92877406,-0.02215591,0.02578146,0.03126492,0.00486453,0.00000000,-0.02166934,0.48749779,0.33303908,0.53952246,3.14154871,-0.00004041,1.57079619
3.738958,0.92779833,-0.14772250,1.40894461,-0.01411457,1.57078528,0.92782766,-0.02228602,0.02582327,0.03174901,0.00481982,-0.00000000,-0.02184405,0.48750214,0.33213565,0.53950161,3.14157508,-0.00000510,1.57076703
3.780438,0.92692536,-0.14669912,1.41020274,-0.01392750,1.57078528,0.92696202,-0.02087430,0.02445695,0.02879033,0.00455535,0.00000000,-0.02096282,0.48749798,0.33131835,0.53948121,-3.14158200,0.00003305,1.57075958
3.821896,0.92606705,-0.14569408,1.41133249,-0.01373676,1.57078528,0.92608905,-0.02079225,0.02421890,0.02855361,0.00449520,0.00000000,-0.02110352,0.48749983,0.33052431,0.53951311,3.14156389,-0.00001974,1.57077436
3.862828,0.92521238,-0.14470370,1.41255391,-0.01355703,1.57078528,0.92522335,-0.02189555,0.02559827,0.03052308,0.00459137,0.00000000,-0.02224746,0.48749664,0.32972852,0.53949039,-3.14159026,0.00002127,1.57078541
