frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
27,3.548494,1786367578.093034,2386,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.348272,0.498206,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,133.8188,0.37162626,-0.30896899,1.19354331,-0.06906163,1.57081103,0.37259096,0.43008813,-0.07639526,-0.11090765,-0.02933996,0.00002802,0.43022755
28,3.677955,1786367578.226882,2340,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.309137,0.441502,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.8834,0.42833030,-0.31904140,1.17887115,-0.07301576,1.57081103,0.42930967,0.43799983,-0.07780246,-0.11333237,-0.03054298,0.00000000,0.43811309
29,3.807897,1786367578.356793,2489,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.269815,0.384772,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.2288,0.48506004,-0.32912484,1.16426146,-0.07688554,1.57081473,0.48602104,0.43657814,-0.07759966,-0.11243263,-0.02978082,0.00002844,0.43643686
30,3.942062,1786367578.485040,2510,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.228968,0.325871,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,125.6821,0.54396123,-0.33958602,1.14905012,-0.08095338,1.57081473,0.54491860,0.43902171,-0.07797271,-0.11337819,-0.03031980,0.00000000,0.43899461
31,4.063565,1786367578.610740,2593,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.192759,0.273507,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.8162,0.59632599,-0.34890282,1.13557017,-0.08452604,1.57081831,0.59727597,0.43097351,-0.07667932,-0.11094293,-0.02940376,0.00002943,0.43091268
32,4.192037,1786367578.739573,2675,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.154144,0.217345,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.4081,0.65248716,-0.35898992,1.12088335,-0.08837014,1.57081831,0.65327579,0.43714728,-0.07851599,-0.11431929,-0.02992168,0.00000000,0.43589137
33,4.328015,1786367578.868998,2661,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.116872,0.162853,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.5527,0.70697939,-0.36944747,1.10568309,-0.09252234,1.57082200,0.70762861,0.40074309,-0.07690617,-0.11178470,-0.03053584,0.00002718,0.39971782
34,4.452734,1786367579.000567,2578,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.086780,0.118936,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.0977,0.75089669,-0.37916040,1.09162343,-0.09615369,1.57082558,0.75135154,0.35212918,-0.07787837,-0.11273047,-0.02911621,0.00002867,0.35057072
35,4.582679,1786367579.132683,2736,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.060355,0.080667,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,118.7981,0.78916520,-0.38921812,1.07697701,-0.10004546,1.57082939,0.78948063,0.29449842,-0.07739999,-0.11271265,-0.02994946,0.00002936,0.29342554
36,4.705301,1786367579.251498,2743,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.040186,0.051991,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.6247,0.81784183,-0.39852026,1.06346405,-0.10372817,1.57082939,0.81807297,0.23386127,-0.07586004,-0.11019985,-0.03003287,0.00000000,0.23317395
