t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
5.40595000,0.36838007,-0.14332086,1.41418982,-0.01329660,1.57079637,0.36840940
5.44762500,0.36701557,-0.14325851,1.41427064,-0.01328560,1.57079637,0.36706322
5.48924200,0.36550796,-0.14318147,1.41435134,-0.01327092,1.57079637,0.36554101
5.53077700,0.36417285,-0.14312644,1.41441727,-0.01325992,1.57079637,0.36418751
5.57228100,0.36284131,-0.14306043,1.41448331,-0.01324525,1.57079637,0.36285600
5.61371900,0.36130810,-0.14299807,1.41456044,-0.01323058,1.57079637,0.36136314
5.65522300,0.35995093,-0.14294305,1.41462648,-0.01322324,1.57079637,0.36002064
5.69658800,0.35862312,-0.14289171,1.41468871,-0.01321224,1.57079637,0.35864878
5.73781100,0.35728428,-0.14284034,1.41474378,-0.01320490,1.57079637,0.35728428
5.77897100,0.35575104,-0.14279634,1.41480243,-0.01319390,1.57079637,0.35578039
5.82015700,0.35438284,-0.14275230,1.41485012,-0.01318656,1.57079637,0.35442689
5.86159000,0.35303670,-0.14271197,1.41490138,-0.01317922,1.57079637,0.35304403
5.90305700,0.35170156,-0.14267161,1.41494548,-0.01317189,1.57079637,0.35167950
5.94446800,0.35018665,-0.14262761,1.41499686,-0.01316822,1.57079637,0.35016829
5.98571000,0.34881848,-0.14259458,1.41503346,-0.01316088,1.57079637,0.34882215
6.02709200,0.34746495,-0.14256524,1.41507030,-0.01315355,1.57079637,0.34747228
6.06863700,0.34612611,-0.14253590,1.41510332,-0.01314621,1.57079637,0.34612244
6.11047000,0.34461126,-0.14251022,1.41513622,-0.01314254,1.57079637,0.34461856
6.15262600,0.34325039,-0.14248455,1.41516185,-0.01313888,1.57079637,0.34325773
6.19436200,0.34171349,-0.14245521,1.41519129,-0.01313521,1.57079637,0.34173551
6.23600100,0.34035999,-0.14244419,1.41521323,-0.01313154,1.57079637,0.34037465
6.27783900,0.33901381,-0.14243320,1.41523528,-0.01312420,1.57079637,0.33902118
6.31965700,0.33748060,-0.14240751,1.41525364,-0.01312420,1.57079637,0.33749893
6.36121500,0.33610508,-0.14239284,1.41526461,-0.01312054,1.57079637,0.33614910
6.40326900,0.33474058,-0.14239284,1.41527557,-0.01312054,1.57079637,0.33478460
6.44524300,0.33322933,-0.14238551,1.41527927,-0.01311687,1.57079637,0.33324400
6.48658200,0.33187950,-0.14238185,1.41528666,-0.01311687,1.57079637,0.33189419
6.52826000,0.33050033,-0.14238185,1.41529024,-0.01311687,1.57079637,0.33055535
6.57004300,0.32895976,-0.14238185,1.41529024,-0.01311687,1.57079637,0.32901478
6.61127600,0.32760260,-0.14237450,1.41528666,-0.01311687,1.57079637,0.32763192
6.65217500,0.32625639,-0.14238551,1.41529024,-0.01311687,1.57079637,0.32625276
6.69354800,0.32488093,-0.14238185,1.41529024,-0.01311687,1.57079637,0.32489926
6.73515300,0.32332200,-0.14238185,1.41528666,-0.01311687,1.57079637,0.32336235
6.77611800,0.32196483,-0.14238551,1.41528666,-0.01311687,1.57079637,0.32198682
6.81729500,0.32061499,-0.14238551,1.41527927,-0.01311687,1.57079637,0.32060400
6.85862300,0.31925049,-0.14240019,1.41527927,-0.01312054,1.57079637,0.31923217
6.90030700,0.31769890,-0.14241853,1.41527200,-0.01312054,1.57079637,0.31770626
6.94169100,0.31633073,-0.14243320,1.41525722,-0.01312054,1.57079637,0.31632343
6.98311300,0.31496990,-0.14246254,1.41523528,-0.01312420,1.57079637,0.31494790
7.02433700,0.31344402,-0.14250657,1.41519129,-0.01312420,1.57079637,0.31343299
7.06583900,0.31206116,-0.14253958,1.41513622,-0.01312420,1.57079637,0.31206849
7.10715300,0.31068197,-0.14258358,1.41506290,-0.01312787,1.57079637,0.31071499
7.14944600,0.30914506,-0.14262761,1.41499317,-0.01313154,1.57079637,0.30915976
7.19073400,0.30778423,-0.14267896,1.41493821,-0.01313521,1.57079637,0.30779526
7.23203300,0.30640873,-0.14272664,1.41487586,-0.01313888,1.57079637,0.30643806
7.27375600,0.30484617,-0.14277799,1.41480243,-0.01314621,1.57079637,0.30489749
7.31514200,0.30347431,-0.14284034,1.41473997,-0.01315355,1.57079637,0.30351463
7.35630700,0.30211344,-0.14289537,1.41467404,-0.01316455,1.57079637,0.30212814
7.39799600,0.30075261,-0.14295039,1.41460073,-0.01317556,1.57079637,0.30075997
7.43974400,0.29918638,-0.14302008,1.41451633,-0.01319023,1.57079637,0.29923040
7.48115400,0.29780352,-0.14307876,1.41444290,-0.01320490,1.57079637,0.29786223
7.52292800,0.29643902,-0.14314479,1.41437685,-0.01321591,1.57079637,0.29647571
7.56425300,0.29490212,-0.14320715,1.41429257,-0.01323424,1.57079637,0.29491314
7.60648900,0.29351559,-0.14328417,1.41421187,-0.01325259,1.57079637,0.29354864
7.64777900,0.29211441,-0.14335386,1.41412389,-0.01326726,1.57079637,0.29216209
7.68921600,0.29057384,-0.14343090,1.41403210,-0.01328560,1.57079637,0.29058853
7.73081400,0.28920934,-0.14350426,1.41394770,-0.01330394,1.57079637,0.28919467
7.77218500,0.28783381,-0.14358129,1.41385615,-0.01331861,1.57079637,0.28781182
7.81351300,0.28643999,-0.14365831,1.41376078,-0.01333328,1.57079637,0.28643632
7.85500100,0.28488839,-0.14374635,1.41365063,-0.01335162,1.57079637,0.28488472
7.89656200,0.28352022,-0.14383072,1.41354799,-0.01336996,1.57079637,0.28351656
7.93810100,0.28215206,-0.14392242,1.41344535,-0.01338830,1.57079637,0.28215206
7.97962100,0.28058213,-0.14402145,1.41332424,-0.01341398,1.57079637,0.28060412
8.02108500,0.27919197,-0.14411683,1.41321790,-0.01343232,1.57079637,0.27921763
8.06298500,0.27781644,-0.14420852,1.41310418,-0.01345433,1.57079637,0.27782744
