frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
22,2.975263,1786366498.682805,2678,50000,3,0,0,0.308737,right_link,1,0.679407,0.385740,0.220157,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.000000,0.099191,1,0.024014,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,,,,0,1.000000,,,,,136.4947,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
23,3.110501,1786366498.819327,2652,50000,2,0,0,0.415229,right_link,1,0.755127,0.475912,0.322172,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.000000,0.056557,1,0.015853,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,,,,0,1.000000,,,,,132.3309,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
24,3.241663,1786366498.951674,2608,50000,1,0,0,0.452757,right_link,0,0.610515,0.565042,0.364999,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.000000,0.068187,1,0.010029,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,,,,0,1.000000,,,,,130.8605,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
25,3.387198,1786366499.082550,2580,50000,1,0,0,0.410473,right_link,0,0.665822,0.532850,0.366104,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,,,,,0,,SAFE,SAFE,,,,,0,1.000000,,,,,132.6840,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
26,3.507026,1786366499.215250,2370,50000,1,0,0,0.409674,right_link,0,0.685686,0.516533,0.357245,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,,,,,0,,SAFE,SAFE,,,,,0,1.000000,,,,,120.0009,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
27,3.624324,1786366499.335264,2421,50000,1,0,0,0.407370,right_link,0,0.703913,0.507245,0.349148,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,,,,,0,,SAFE,SAFE,,,,,0,1.000000,,,,,129.5009,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
28,3.757367,1786366499.464781,2391,50000,2,0,0,0.419338,right_link,0,0.716958,0.510488,0.349358,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,,,,,0,,SAFE,SAFE,,,,,0,1.000000,,,,,126.6470,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
29,3.880550,1786366499.591447,2359,50000,0,0,0,,,,,,,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,,,,,0,,SAFE,SAFE,,,,,0,1.000000,,,,,129.1793,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30,4.015676,1786366499.720654,2449,50000,0,0,0,,,,,,,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,,,,,0,,SAFE,SAFE,,,,,0,1.000000,,,,,128.6101,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
31,4.140354,1786366499.849280,2342,50000,1,0,0,0.475626,left_link,0,0.654666,-0.568876,0.372665,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,,,,,0,,SAFE,SAFE,,,,,0,1.000000,,,,,132.2606,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
32,4.275071,1786366499.981564,2434,50000,1,0,0,0.458496,left_link,0,0.654227,-0.557187,0.380717,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,,,,,0,,SAFE,SAFE,,,,,0,1.000000,,,,,133.6908,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
33,4.406134,1786366500.115270,2356,50000,1,0,0,0.453526,left_link,0,0.653590,-0.558798,0.378864,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,,,,,0,,SAFE,SAFE,,,,,0,1.000000,,,,,130.1458,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57090271,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00005548,0.00000000
