x_m,y_m,z_m
0.5481960447588292,-0.18551010119204112,0.3039029389137715
0.5472444956982252,-0.025846353474054132,0.2781186112631034
0.593198256461403,-0.0909917432758039,0.35631891945265903
0.5843819875055859,-0.15432234627097838,0.3572386684034085
0.6007941835820586,-0.16428340112913895,0.313582060913858
0.5851944203758781,-0.1723156376277581,0.35728294268431454
0.5964258283519449,-0.09009635612110158,0.374322153853553
0.6053242299158715,-0.14744491132304094,0.29295289980083966
0.58564216356144,-0.15290352775303845,0.3969843053612202
0.6040645485067894,-0.0900883597317269,0.31647152602966316
0.5108500993605738,-0.05277400297547318,0.4506551839318544
0.6064720595676298,-0.132245527014101,0.27719164096094256
0.5962254226922429,-0.08940340664826883,0.2754800701128067
0.5765760821956598,-0.05335496495521402,0.41522939405450116
0.5500268084553422,-0.0912945228274004,0.4523446313842431
0.5941400872683551,-0.04484916381679467,0.3193775812417108
0.5945712308299745,-0.11316063026732624,0.33718652122663806
0.5107026774340269,-0.1691303226013419,0.44423260191079844
0.5911551767549298,-0.17310349436196118,0.3175545572541751
0.5607652696632539,-0.18406468797867023,0.38905471794578106
0.5514652588345558,-0.026251028455546974,0.31942148735221976
0.5515436861150568,-0.14949386484014127,0.44521975055270463
0.5927892873838646,-0.11452056826637111,0.39734986695622343
0.5969454905312072,-0.11267365182246311,0.3733508220133839
0.5873786165313798,-0.11285557049088027,0.418404521422593
0.5949334288894059,-0.09664691776263204,0.4002245156020396
0.5937095271239612,-0.07051827136380631,0.35934925771870424
0.6015627227167601,-0.08809092271831984,0.39842550830072004
0.5836305069498576,-0.16904643346593792,0.43173031180728705
0.5947448910757163,-0.0732444066047207,0.37589936198370255
0.5662144793379549,-0.1527024693037981,0.4362787762120386
0.5963660628261214,-0.0737419570477054,0.2780539448275944
0.5730554563443744,-0.18069417555002623,0.3207210233381243
0.6015428993921735,-0.0787620030788249,0.35196547739824663
0.5930540381720827,-0.15874257467718222,0.2778139128674027
0.5290623087957272,-0.03804821490326918,0.45529831863001563
0.5710298058210312,-0.03798958215603928,0.33880772440963464
0.603355689435205,-0.05306632682378494,0.27594249716833114
0.6025516855757747,-0.053285489197540135,0.29790293056763417
0.5266887339814773,-0.13129555422636627,0.4550380690933702
0.5671914497733652,-0.07167944987834146,0.449395737262502
0.5881669516440577,-0.154155250274975,0.37842956192421295
0.5485003267299062,-0.15568762712225187,0.44856343822803224
0.5691229652015225,-0.1133712885462502,0.4416919811107205
0.4922239916321599,-0.054810430057524694,0.4512579562065836
0.5995642582962805,-0.10804843655594283,0.38299476293142853
0.5921914469987616,-0.04713195420304716,0.39740258078002944
0.5848988043717251,-0.1710690186413093,0.33679156386075987
0.5676559977117519,-0.051415707635079425,0.4496853261980933
0.6049929056797573,-0.07152715837524995,0.3170846687850961
0.5961966689683674,-0.12899452716526377,0.39712203812451713
0.595334761451921,-0.053626139163885894,0.3784127247321337
0.5950999152445803,-0.15090265487110108,0.3166333868510349
0.5293400364256651,-0.05375968285308351,0.45298396390113527
0.5823687067886992,-0.1707880957450553,0.4216386192989964
0.5860507571511858,-0.15377145209978926,0.336743409213673
0.5989250186077963,-0.11647621141845421,0.38914901552305914
0.5153348490938511,-0.11111355361258149,0.4601757774537946
0.60589504094994,-0.13253763808394317,0.2963162714310264
0.5926941311661083,-0.13403038720965044,0.3169106462590267
0.587510697426492,-0.053756946129848236,0.33903796687622917
0.605860957297161,-0.11457183824848972,0.3157503993137401
0.5460621636136811,-0.16818853396450476,0.4484093913532239
0.5741663986824899,-0.15001658794533346,0.4228466230571793
0.5853735505305107,-0.17189925555101118,0.3780885026828182
0.586123085161503,-0.15024876861193226,0.41493271482228
0.5859962276192708,-0.05844380441793414,0.41506139860363794
0.5857630247192461,-0.1317164255222605,0.41798713881380595
0.5922983151000116,-0.13137360775667162,0.3760431535357822
0.5417613903520367,-0.03931197807693043,0.4488600088340935
0.6049662611073668,-0.09172591721099217,0.30002774266328675
0.5863567699273219,-0.040232981867096486,0.37600217396471186
0.5298642447004055,-0.14882162083913006,0.45053380138188526
0.5248132561468452,-0.17068860437570535,0.44561209782454925
0.5534033108061878,-0.1346069179461951,0.4446859045985148
0.5615335122945734,-0.09122587195371894,0.4488998688602179
0.545787444092038,-0.05527913448833792,0.4505281690116192
0.6113778749298068,-0.11209048791432091,0.29725517220009473
0.6002307690096989,-0.054963476004006,0.31760151193389324
0.5491363345856617,-0.07241484273913035,0.4523685459239008
0.5830335746437714,-0.05718741279129577,0.4501326047403908
0.5755262783505594,-0.17903946576884866,0.328604758475388
0.6037394456444164,-0.14970668606971152,0.2766327467637181
0.5999997793008176,-0.13501518036482263,0.4036537460488698
0.5859652393152398,-0.1730104704023597,0.2764979720551547
0.5957592448651745,-0.10697904530272193,0.3192217374862833
0.5722815421141612,-0.03916570961189293,0.4171544846152432
0.546754949393614,-0.0442156348585703,0.44681976113196764
