frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
20,3.456794,1786951056.725552,3457,50000,0,3457,20,1732,0.005785,0.224863,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.007598,0.009185,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.471475,,0,1.000000,SAFE,1,current,50000,166.3948,0.98566151,-0.23072630,1.30339336,-0.03440243,1.57079637,0.98570186,0.12203612,-0.07426204,-0.08462475,-0.01131929,0.00000000,0.12164086
21,3.630852,1786951056.891976,3243,50000,0,3243,39,1670,0.012026,0.223236,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.000702,0.000873,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.399753,0.475623,,0,1.000000,SAFE,1,current,50000,176.5513,0.99397320,-0.23835580,1.29547417,-0.03628046,1.57079637,0.99398059,0.04775253,-0.04383320,-0.04549755,-0.01078971,0.00000000,0.04756316
22,3.801436,1786951057.068560,3143,50000,0,3143,36,1788,0.011454,0.224962,1,0,0,,,,,,,,,,,no_stable_track,REFERENCE_ARMED,1,0,0,0,0.000000,0.400001,0.000014,0.000040,1.040070,26,0.025526,,,,,,,,0,0,,SAFE,SAFE,,0.399984,0.471611,,0,1.000000,SAFE,1,current,50000,188.3608,0.99481326,-0.23922145,1.29465616,-0.03694071,1.57079637,0.99480218,0.00492465,-0.00507464,-0.00479537,-0.00387051,0.00000000,0.00481633
23,3.988870,1786951057.256955,2746,50000,0,2746,22,1735,0.008012,0.225278,1,0,0,,,,,,,,,,,reference_step_jump,RUNNING,1,5,5,1,0.170685,0.399973,0.000261,0.000470,1.206104,30,0.030984,,,,,,,,0,0,,SAFE,SAFE,,0.399311,0.486136,,0,1.000000,SAFE,1,current,50000,181.8764,0.99460787,-0.23878497,1.29512572,-0.03694438,1.57079256,0.99469221,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
24,4.171316,1786951057.438861,2501,50000,0,2501,25,1714,0.009996,0.224166,1,0,0,,,,,,,,,,,reference_step_jump,RUNNING,1,10,5,1,0.378524,0.398570,0.000720,0.001420,1.413500,35,0.034681,,,,,,,,0,0,,SAFE,SAFE,,0.396890,0.480707,,0,1.000000,SAFE,1,current,50000,188.1719,0.99293154,-0.23611830,1.29873502,-0.03615575,1.57079637,0.99290955,-0.00918804,0.01461620,0.01978284,0.00432251,0.00002091,-0.00977087
25,4.355764,1786951057.627053,2518,50000,0,2518,32,1697,0.012708,0.225647,1,0,0,,,,,,,,,,,reference_step_jump,RUNNING,1,15,5,1,0.585013,0.395238,0.000700,0.001306,1.620678,40,0.035734,,,,,,,,0,0,,SAFE,SAFE,,0.393435,0.478300,,0,1.000000,SAFE,1,current,50000,181.3804,0.98987240,-0.23137188,1.30483127,-0.03458584,1.57079256,0.98988342,-0.01658544,0.02573314,0.03305131,0.00851143,-0.00002068,-0.01640641
26,4.536413,1786951057.808451,2480,50000,0,2480,36,1691,0.014516,0.223740,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,20,5,0,0.792017,0.391138,0.000202,0.000352,1.828318,45,0.036412,,,,,,,,0,0,,SAFE,SAFE,,0.389747,0.479743,,0,1.000000,SAFE,1,current,50000,174.3527,0.98654181,-0.22626598,1.31147778,-0.03304893,1.57079256,0.98652351,-0.01843680,0.02826420,0.03679243,0.00850769,0.00000000,-0.01859913
27,4.713494,1786951057.982824,2446,50000,0,2446,30,1712,0.012265,0.224783,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,24,4,0,0.957282,0.387835,0.000507,0.000682,1.994676,49,0.035459,,,,,,,,0,0,,SAFE,SAFE,,0.386023,0.475316,,0,1.000000,SAFE,1,current,50000,190.6660,0.98317093,-0.22119677,1.31799948,-0.03162941,1.57079256,0.98318189,-0.01903584,0.02862654,0.03682896,0.00801626,0.00000000,-0.01887057
28,4.901411,1786951058.173510,2481,50000,0,2481,30,1712,0.012092,0.224810,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,29,5,0,1.164330,0.383636,0.000002,0.000015,2.202386,54,0.035837,,,,,,,,0,0,,SAFE,SAFE,,0.382732,0.463232,,0,1.000000,SAFE,1,current,50000,158.2128,0.97971928,-0.21601018,1.32467163,-0.03020621,1.57079256,0.97968262,-0.01836793,0.02760042,0.03550580,0.00757353,0.00000000,-0.01862136
29,5.061743,1786951058.331744,2484,50000,0,2484,29,1740,0.011675,0.224572,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,33,4,0,1.330531,0.380324,0.000099,0.000187,2.368578,58,0.035583,,,,,,,,0,0,,SAFE,SAFE,,0.379524,0.464570,,0,1.000000,SAFE,1,current,50000,177.3387,0.97665650,-0.21154618,1.33033144,-0.02892240,1.57079256,0.97666746,-0.01910269,0.02784211,0.03530047,0.00800716,0.00000000,-0.01880565
