frame,t_s,cluster_index,dynamic_prefilter_ok,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
85,11.216955,0,0,297,0.664674,-0.310212,0.408726,0.140880,0.122485,0.222915,0.244942,0.097165
86,11.350795,0,0,280,0.671429,-0.301838,0.398531,0.139518,0.116916,0.225447,0.245051,0.111831
87,11.480962,0,0,294,0.668197,-0.299099,0.397724,0.141682,0.133875,0.222731,0.252739,0.032439
88,11.614443,0,0,297,0.666415,-0.297027,0.412606,0.140850,0.130415,0.227981,0.254111,0.114616
89,11.747269,0,0,279,0.670400,-0.286742,0.401742,0.140968,0.098654,0.236194,0.264480,0.117559
90,11.879839,0,0,295,0.670810,-0.282718,0.394163,0.146964,0.144546,0.242660,0.263088,0.065470
91,12.012571,0,0,286,0.673787,-0.272780,0.405604,0.138685,0.106736,0.212970,0.255886,0.118502
92,12.132335,0,0,292,0.669527,-0.268324,0.409192,0.142364,0.146048,0.221483,0.253176,0.056996
93,12.264282,0,0,271,0.675300,-0.261812,0.406493,0.138567,0.126951,0.220763,0.257038,0.069618
94,12.398182,0,0,273,0.675831,-0.251966,0.400069,0.143439,0.102076,0.224570,0.260932,0.089033
95,12.525703,0,0,296,0.675722,-0.251195,0.406948,0.144061,0.109296,0.226774,0.262810,0.054073
96,12.658666,0,0,288,0.673769,-0.246272,0.409406,0.145319,0.111740,0.237035,0.256615,0.044061
97,12.791764,0,0,285,0.675174,-0.238467,0.409185,0.141175,0.125318,0.213218,0.245632,0.058370
98,12.925043,0,0,274,0.679237,-0.235856,0.399951,0.140214,0.131347,0.223467,0.258150,0.080081
99,13.055981,0,0,297,0.676200,-0.232239,0.400064,0.144690,0.115920,0.228388,0.258265,0.035877
100,13.186244,0,0,275,0.678321,-0.218724,0.400658,0.142086,0.133367,0.228053,0.246530,0.103227
101,13.325209,0,0,284,0.679160,-0.212747,0.397830,0.144789,0.118045,0.233400,0.253203,0.050863
102,13.459812,0,0,295,0.678848,-0.211443,0.396110,0.147832,0.157272,0.234451,0.259272,0.015221
103,13.578157,0,0,269,0.679683,-0.204577,0.399553,0.141258,0.111631,0.226102,0.257230,0.065300
104,13.711826,0,0,293,0.680895,-0.194282,0.396058,0.145263,0.144028,0.237523,0.255547,0.082955
105,13.839904,0,0,293,0.679685,-0.192791,0.399122,0.146742,0.133469,0.244777,0.258503,0.028084
106,13.957732,0,0,267,0.684954,-0.183846,0.402743,0.141011,0.130824,0.212270,0.257929,0.092150
107,14.075005,0,0,290,0.682705,-0.177800,0.412622,0.139377,0.134767,0.205677,0.254031,0.099633
108,14.205902,0,0,257,0.685720,-0.179775,0.407652,0.137371,0.103479,0.210732,0.251908,0.047985
109,14.338379,0,0,261,0.684055,-0.177029,0.394049,0.146925,0.136791,0.226729,0.259158,0.105984
110,14.467985,0,0,256,0.684576,-0.170143,0.408832,0.139852,0.129555,0.216356,0.250581,0.128171
111,14.596057,0,0,271,0.686731,-0.161082,0.400088,0.142508,0.137040,0.222025,0.258496,0.095779
112,14.728593,0,0,272,0.692614,-0.153175,0.403835,0.135354,0.118313,0.213411,0.254082,0.080953
113,14.862837,0,0,268,0.688940,-0.148695,0.405453,0.135574,0.132501,0.216655,0.253384,0.044970
114,14.994516,0,0,256,0.688412,-0.149231,0.409637,0.135379,0.140354,0.205072,0.250230,0.031865
