condition,trial,direction,t_s,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,q_act_1,q_act_2,q_act_3,q_act_4,q_act_5,q_act_6,qd_ref_1,qd_ref_2,qd_ref_3,qd_ref_4,qd_ref_5,qd_ref_6,qd_act_1,qd_act_2,qd_act_3,qd_act_4,qd_act_5,qd_act_6,qdd_act_1,qdd_act_2,qdd_act_3,qdd_act_4,qdd_act_5,qdd_act_6,control_period_ms,status_delay_ms,rgbd_delay_ms,online_min_clearance_m,risk_state,speed_scale,hold,completed
B1_no_obstacle_nubs,0,forward,0.460000,0.00174090,-0.59878137,1.39843319,0.00139272,0.99878137,-0.00121863,0.00383374,-0.60001680,1.39798576,0.00110635,1.00016842,-0.00185643,0.01101361,0.00770953,-0.00991225,0.00881089,-0.00770953,-0.00770953,-0.10044659,-0.02608385,0.01414892,0.09848067,-0.16870507,-0.00769229,-0.34134636,0.43088252,1.19375653,3.96946197,-2.34577687,-0.01208168,22.0390,10.2168,17.9766,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.480000,0.00197027,-0.59862081,1.39822676,0.00157621,0.99862081,-0.00137919,0.00152583,-0.59926422,1.39910971,0.00565886,0.99613226,0.00003436,0.01192860,0.00835002,-0.01073574,0.00954288,-0.00835002,-0.00835002,-0.00870349,0.07773234,0.05375244,0.07603469,-0.08039747,-0.01758384,3.84487378,1.45675656,-0.51196208,-5.08865321,4.76988746,-1.64463592,18.5177,11.0850,24.2843,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.500000,0.00221825,-0.59844723,1.39800358,0.00177460,0.99844723,-0.00155277,0.00348560,-0.59690751,1.40013586,0.00414774,0.99695253,-0.00255979,0.01287460,0.00901222,-0.01158714,0.01029968,-0.00901222,-0.00901222,0.05334836,0.03218641,-0.00632957,-0.10506545,0.02209042,-0.07347773,0.87478010,-1.87112105,-1.74969156,-2.91644378,4.45858672,1.64069139,18.5284,13.4984,18.0741,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.520000,0.00248545,-0.59826018,1.39776309,0.00198836,0.99826018,-0.00173982,0.00365976,-0.59797676,1.39885653,0.00145624,0.99701587,-0.00290475,0.01385100,0.00969570,-0.01246590,0.01108080,-0.00969570,-0.00969570,0.02628771,0.00288750,-0.01623522,-0.04062306,0.09794600,0.04804382,-1.40721358,0.63056681,-0.24198775,5.57045162,-0.68348409,2.75266269,19.1835,8.0477,8.6614,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.540000,0.00277249,-0.59805926,1.39750476,0.00221799,0.99805926,-0.00194074,0.00453711,-0.59679201,1.39948645,0.00252281,1.00087037,-0.00063803,0.01485718,0.01040003,-0.01337147,0.01188575,-0.01040003,-0.01040003,-0.00294018,0.05740908,-0.01600908,0.11775261,-0.00524894,0.03662878,-1.43983516,1.17650203,-1.79913215,1.67689557,-2.73018262,-0.20034233,19.4988,12.1049,14.1817,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.560000,0.00307993,-0.59784405,1.39722806,0.00246395,0.99784405,-0.00215595,0.00354215,-0.59568040,1.39821616,0.00616635,0.99680592,-0.00143959,0.01589254,0.01112478,-0.01430328,0.01271403,-0.01112478,-0.01112478,-0.03130569,0.04994758,-0.08820050,0.02645276,-0.01126131,0.04003013,0.72679563,-2.51438188,1.38401559,-3.87712688,0.99085948,0.91645557,19.4153,8.9022,15.9541,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.580000,0.00340838,-0.59761414,1.39693246,0.00272670,0.99761414,-0.00238586,0.00328488,-0.59479410,1.39595843,0.00358092,1.00041991,0.00096317,0.01695646,0.01186952,-0.01526081,0.01356517,-0.01186952,-0.01186952,0.02613164,-0.04316619,0.03935155,-0.03733247,0.03438544,0.07328700,2.01238305,-1.81730766,2.10986748,-1.20060521,-0.27658087,-2.46435289,19.6278,10.2413,14.3909,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.600000,0.00375838,-0.59736913,1.39661746,0.00300670,0.99736913,-0.00263087,0.00458742,-0.59740705,1.39979023,0.00467305,0.99818133,0.00149189,0.01804834,0.01263384,-0.01624351,0.01443867,-0.01263384,-0.01263384,0.04918963,-0.02274472,-0.00380580,-0.02157145,-0.02232454,-0.05854399,0.24937473,1.51650221,-3.08183378,1.44151432,-2.05747763,-3.82832032,18.9920,7.2206,6.0000,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.620000,0.00413049,-0.59710865,1.39628256,0.00330439,0.99710865,-0.00289135,0.00525246,-0.59570389,1.39580620,0.00271807,0.99952693,-0.00137859,0.01916759,0.01341731,-0.01725083,0.01533407,-0.01341731,-0.01341731,0.03610663,0.01749390,-0.08392180,0.02032811,-0.04791367,-0.07984581,-1.57046136,1.64307790,1.65872799,2.82696233,-1.24667089,-0.47885676,17.8746,11.9628,20.6471,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.640000,0.00452526,-0.59683232,1.39592727,0.00362021,0.99683232,-0.00316768,0.00603169,-0.59670729,1.39643335,0.00548617,0.99626479,-0.00170195,0.02031360,0.01421952,-0.01828224,0.01625088,-0.01421952,-0.01421952,-0.01362883,0.04297839,0.06254331,0.09150705,-0.07219138,-0.07769826,-1.73946769,0.23128713,1.74826613,1.01850044,1.48637480,0.78867155,17.5903,9.7187,6.0000,,SAFE,1.000,0,1
