index,u,x,y,z,rx,ry,rz
64,0.800000,0.58749838,-0.24000000,0.53950217,3.14157454,-0.00000374,1.57078181
65,0.812500,0.58749838,-0.25000000,0.53950217,3.14157454,-0.00000374,1.57078181
66,0.825000,0.58749838,-0.26000000,0.53950217,3.14157454,-0.00000374,1.57078181
67,0.837500,0.58749838,-0.27000000,0.53950217,3.14157454,-0.00000374,1.57078181
68,0.850000,0.58749838,-0.28000000,0.53950217,3.14157454,-0.00000374,1.57078181
69,0.862500,0.58749838,-0.29000000,0.53950217,3.14157454,-0.00000374,1.57078181
70,0.875000,0.58749838,-0.30000000,0.53950217,3.14157454,-0.00000374,1.57078181
71,0.887500,0.58749838,-0.31000000,0.53950217,3.14157454,-0.00000374,1.57078181
72,0.900000,0.58749838,-0.32000000,0.53950217,3.14157454,-0.00000374,1.57078181
73,0.912500,0.58749838,-0.33000000,0.53950217,3.14157454,-0.00000374,1.57078181
74,0.925000,0.58749838,-0.34000000,0.53950217,3.14157454,-0.00000374,1.57078181
75,0.937500,0.58749838,-0.35000000,0.53950217,3.14157454,-0.00000374,1.57078181
76,0.950000,0.58749838,-0.36000000,0.53950217,3.14157454,-0.00000374,1.57078181
77,0.962500,0.58749838,-0.37000000,0.53950217,3.14157454,-0.00000374,1.57078181
78,0.975000,0.58749838,-0.38000000,0.53950217,3.14157454,-0.00000374,1.57078181
79,0.987500,0.58749838,-0.39000000,0.53950217,3.14157454,-0.00000374,1.57078181
80,1.000000,0.58749838,-0.40000000,0.53950217,3.14157454,-0.00000374,1.57078181
