frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
20,3.057042,1786774011.998416,2401,50000,0,2401,5,1559,0.002082,0.224127,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.479322,0.692586,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,143.6740,0.17724645,-0.27368256,1.24474525,-0.05554495,1.57080007,0.17776732,0.36768587,-0.07931138,-0.11511494,-0.03117247,0.00000000,0.36886497
21,3.201949,1786774012.142107,2319,50000,0,2319,2,1583,0.000862,0.225769,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.439822,0.632988,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.0013,0.23684457,-0.28493977,1.22844827,-0.05983654,1.57080364,0.23751949,0.41128615,-0.07768586,-0.11246535,-0.02961626,0.00002468,0.41234923
22,3.336747,1786774012.271125,2359,50000,0,2359,1,1628,0.000424,0.224221,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.400399,0.574461,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,112.6625,0.29537162,-0.29537162,1.21322966,-0.06380535,1.57080734,0.29617494,0.43418405,-0.07738892,-0.11289959,-0.02944268,0.00002742,0.43513661
23,3.447290,1786774012.383824,2329,50000,0,2329,19,1591,0.008158,0.224039,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.367674,0.526465,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,156.4114,0.34336779,-0.30394381,1.20087564,-0.06719094,1.57081103,0.34417841,0.43418429,-0.07754600,-0.11175726,-0.03062681,0.00003343,0.43425034
24,3.600517,1786774012.540253,2330,50000,0,2330,9,1612,0.003863,0.225707,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.322631,0.461012,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,139.4222,0.40882006,-0.31556413,1.18396604,-0.07164393,1.57081473,0.40965635,0.42715859,-0.07583719,-0.11035644,-0.02906136,0.00002412,0.42732605
25,3.742795,1786774012.679705,2337,50000,0,2337,3,1513,0.001284,0.225906,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.278818,0.397746,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.8993,0.47208622,-0.32679564,1.16761398,-0.07597954,1.57081473,0.47299588,0.44466740,-0.07894090,-0.11493075,-0.03047293,0.00000000,0.44518311
26,3.873562,1786774012.812631,2361,50000,0,2361,9,1556,0.003812,0.224165,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.239472,0.341024,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,138.2084,0.52880859,-0.33689737,1.15299690,-0.07995201,1.57081831,0.52960825,0.43376622,-0.07724979,-0.11177949,-0.03037820,0.00002735,0.43292502
27,4.013603,1786774012.950856,2542,50000,0,2542,2,1616,0.000787,0.225821,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.197199,0.279944,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.2085,0.58988857,-0.34775475,1.13725007,-0.08404553,1.57082200,0.59070289,0.43615902,-0.07753017,-0.11244475,-0.02923095,0.00002639,0.43626373
28,4.142671,1786774013.082093,2474,50000,0,2474,0,1582,0.000000,0.223267,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.158442,0.223599,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,125.8438,0.64623314,-0.35781246,1.12258899,-0.08793730,1.57082558,0.64691913,0.43654681,-0.07792525,-0.11359116,-0.03015271,0.00002771,0.43555254
29,4.267273,1786774013.207954,2514,50000,0,2514,7,1588,0.002784,0.223826,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.123373,0.172357,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.2422,0.69747555,-0.36751807,1.10850739,-0.09178507,1.57082939,0.69802570,0.41124944,-0.07789298,-0.11301281,-0.03088048,0.00003062,0.41015926
30,4.399405,1786774013.336235,2530,50000,0,2530,8,1632,0.003162,0.224220,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.091235,0.125417,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,140.6442,0.74441528,-0.37760147,1.09386468,-0.09553746,1.57082939,0.74484074,0.35525040,-0.07631348,-0.11081935,-0.02839897,0.00000000,0.35430669
31,4.539850,1786774013.476907,2493,50000,0,2493,8,1616,0.003209,0.224719,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.062187,0.083290,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.7207,0.78654259,-0.38843316,1.07809949,-0.09976303,1.57083297,0.78682137,0.29995578,-0.07712399,-0.11225164,-0.03008697,0.00002546,0.29891133
32,4.667035,1786774013.606644,2536,50000,0,2536,8,1632,0.003155,0.224020,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.040141,0.051925,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.8890,0.81790793,-0.39853859,1.06347144,-0.10373183,1.57083666,0.81805462,0.24661022,-0.07945404,-0.11501319,-0.03120476,0.00002906,0.24557171
33,4.797340,1786774013.734550,2447,50000,0,2447,7,1673,0.002861,0.225253,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.022732,0.028079,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,148.2385,0.84175372,-0.40861467,1.04885793,-0.10758326,1.57083666,0.84184915,0.18299987,-0.07732688,-0.11214852,-0.02955704,0.00000000,0.18260649
34,4.945834,1786774013.882805,2627,50000,0,2627,10,1632,0.003807,0.224959,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.008812,0.010373,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,143.0060,0.85945934,-0.41957474,1.03416014,-0.11195189,1.57084036,0.85951436,0.11923454,-0.07380816,-0.09897899,-0.02941953,0.00002489,0.11896239
35,5.088780,1786774014.025839,2517,50000,0,2517,5,1622,0.001986,0.223279,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.001578,0.001900,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,139.7208,0.86796546,-0.42715654,1.02586305,-0.11612610,1.57084405,0.86795449,0.05950606,-0.05303982,-0.05804373,-0.02920142,0.00002585,0.05904447
36,5.235101,1786774014.165576,2534,50000,0,2534,10,1659,0.003946,0.222049,1,0,0,,,,,,,,,,,no_stable_track,REFERENCE_ARMED,1,0,0,0,0.000000,0.399997,0.000057,0.000125,1.005039,25,0.028203,,,,,,,,0,0,,SAFE,SAFE,,0.399974,,,1,1.000000,SAFE,0,current,50000,135.1750,0.86975545,-0.42895019,1.02401078,-0.11779505,1.57084405,0.86972982,0.01223329,-0.01225835,-0.01265898,-0.01140611,0.00000000,0.01213309
37,5.361871,1786774014.300780,2418,50000,0,2418,17,1589,0.007031,0.223416,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,0,0,0,0.000000,0.399997,0.000020,0.000059,1.005039,25,0.028233,,,,,,,,0,0,,SAFE,SAFE,,0.399954,,,1,1.000000,SAFE,0,current,50000,153.6021,0.86979580,-0.42900157,1.02398133,-0.11783540,1.57084775,0.86979944,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,5.519521,1786774014.454398,2454,50000,0,2454,16,1655,0.006520,0.225029,1,0,0,,,,,,,,,,,reference_step_jump,RUNNING,1,5,5,1,0.171240,0.399967,0.000453,0.001075,1.212231,30,0.035411,,,,,,,,0,0,,SAFE,SAFE,,0.399141,,,1,1.000000,SAFE,0,current,50000,149.4742,0.86939234,-0.42834130,1.02512944,-0.11763733,1.57085133,0.86954641,-0.00255924,0.00418821,0.00728263,0.00125642,0.00002268,-0.00160496
39,5.663228,1786774014.603890,2478,50000,0,2478,17,1670,0.006860,0.223129,1,0,0,,,,,,,,,,,reference_step_jump,RUNNING,1,10,5,1,0.378422,0.398591,0.000655,0.001412,1.379146,34,0.038822,,,,,,,,0,0,,SAFE,SAFE,,0.397075,,,1,1.000000,SAFE,0,current,50000,150.9340,0.86789578,-0.42607448,1.02850771,-0.11626915,1.57085133,0.86787379,-0.01041389,0.01577388,0.02350798,0.00952059,0.00000000,-0.01163910
40,5.816089,1786774014.754841,2520,50000,0,2520,7,1751,0.002778,0.223739,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,15,5,0,0.585951,0.395131,0.000203,0.000385,1.590348,39,0.041812,,,,,,,,0,0,,SAFE,SAFE,,0.394240,,,1,1.000000,SAFE,0,current,50000,135.1603,0.86540884,-0.42245045,1.03409410,-0.11424440,1.57085133,0.86542356,-0.01626933,0.02370798,0.03654556,0.01324569,0.00000000,-0.01602914
41,5.950840,1786774014.890028,2418,50000,0,2418,15,1610,0.006203,0.223703,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,18,3,0,0.710154,0.392728,0.000093,0.000062,1.714460,42,0.040722,,,,,,,,0,0,,SAFE,SAFE,,0.391738,,,1,1.000000,SAFE,0,current,50000,148.6861,0.86284488,-0.41870171,1.03987861,-0.11232603,1.57085133,0.86283755,-0.01902738,0.02781984,0.04292749,0.01423647,0.00000000,-0.01919104
42,6.098012,1786774015.038732,2382,50000,0,2382,11,1683,0.004618,0.224492,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,22,4,0,0.880246,0.389340,0.000300,0.000800,1.921422,47,0.042582,,,,,,,,0,0,,SAFE,SAFE,,0.388734,,,1,1.000000,SAFE,0,current,50000,129.4352,0.85996550,-0.41458622,1.04619491,-0.11012521,1.57085133,0.85996920,-0.01956467,0.02796373,0.04291769,0.01495401,0.00000000,-0.01948974
43,6.232363,1786774015.168184,2382,50000,0,2382,16,1560,0.006717,0.223348,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,25,3,0,1.005039,0.386828,0.000103,0.000385,2.005110,49,0.040150,,,,,,,,0,0,,SAFE,SAFE,,0.385551,,,1,1.000000,SAFE,0,current,50000,163.2187,0.85735017,-0.41087049,1.05182910,-0.10814080,1.57085133,0.85735387,-0.01946640,0.02765681,0.04193630,0.01477027,0.00000000,-0.01946640
44,6.391879,1786774015.331431,2376,50000,0,2376,5,1628,0.002104,0.225550,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,29,4,0,1.170770,0.383438,0.000300,0.000550,2.170993,53,0.039996,,,,,,,,0,0,,SAFE,SAFE,,0.383029,,,1,1.000000,SAFE,0,current,50000,139.0439,0.85425806,-0.40653488,1.05835450,-0.10594365,1.57085133,0.85425073,-0.01938434,0.02717982,0.04090752,0.01377389,0.00000000,-0.01945347
45,6.532474,1786774015.470502,2430,50000,0,2430,9,1565,0.003704,0.224918,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,32,3,0,1.296284,0.380926,0.000001,0.000066,2.337021,57,0.040451,,,,,,,,0,0,,SAFE,SAFE,,0.380627,,,1,1.000000,SAFE,0,current,50000,129.7772,0.85150701,-0.40276784,1.06406558,-0.10400327,1.57085502,0.85149604,-0.01956722,0.02679360,0.04062080,0.01380124,0.00002628,-0.01959309
46,6.663651,1786774015.600308,2413,50000,0,2413,14,1628,0.005802,0.225004,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,35,3,0,1.420729,0.378433,0.000097,0.000235,2.462189,60,0.039817,,,,,,,,0,0,,SAFE,SAFE,,0.377539,,,1,1.000000,SAFE,0,current,50000,143.5018,0.84897971,-0.39927587,1.06936586,-0.10217658,1.57085502,0.84896511,-0.01926632,0.02662029,0.04040560,0.01392532,0.00000000,-0.01929403
