condition,trial,direction,completed,joint_rmse_rad,max_joint_error_rad,terminal_joint_l2_error_rad,terminal_max_joint_error_rad,execution_time_s,reference_time_s,execution_time_error_s,max_joint_velocity_rad_s,max_joint_acceleration_rad_s2,control_period_p50_ms,control_period_p95_ms,control_period_max_ms,status_delay_p95_ms,rgbd_delay_p95_ms,false_hold_count,hold_count,online_min_clearance_m,risk_state_frames
B2_static_ccro_nubs,0,forward,True,0.003190250720282763,0.010195029221886087,0.005591600936665895,0.0035073106007842414,8.0,8.0,0.0,0.39802321182691586,9.723141634920413,20.046279001224075,23.170051089359177,25.338534110902977,14.845842011879299,25.358956478881886,0,0,0.10386246949896925,166
B2_static_ccro_nubs,1,forward,True,0.003228584496964406,0.009390852063007715,0.002480199767416743,0.0016956444155440398,8.0,8.0,0.0,0.4085488614290089,10.805945275045564,19.914863413680926,23.600283140493605,25.997395943053444,15.318308702707292,25.48493773777995,0,0,0.10377067565282885,160
B2_static_ccro_nubs,2,forward,True,0.0031531024683621647,0.010570265878761975,0.005136513306422534,0.004583239949568385,8.0,8.0,0.0,0.3913179572613862,13.673793766002944,19.871450344052715,23.706760000728806,26.686774327821905,14.860576266180313,26.422282329435493,0,0,0.10550124806321373,177
B2_static_ccro_nubs,3,forward,True,0.0031908385424445334,0.009955104786709357,0.004542485811562709,0.0033526805811679994,8.0,8.0,0.0,0.3837562703285169,18.226555765859104,20.215732181638867,23.19364262709999,26.118210919961246,15.289373792512958,25.410946067811373,0,0,0.10359037418433878,169
B2_static_ccro_nubs,4,forward,True,0.003185083121451046,0.009468463014684153,0.0048104612984292425,0.00415393692883681,8.0,8.0,0.0,0.41753569466578544,12.28181912193288,20.24509808664338,23.536076528427163,25.841980582556747,14.844549060755714,26.3782059780779,0,0,0.10129630777901401,174
B2_static_ccro_nubs,5,forward,True,0.0031285120406710997,0.009362723444321167,0.0059226171513946735,0.005435576916733353,8.0,8.0,0.0,0.3899792524209855,11.045463482791812,19.73528764417472,23.589415908223117,25.33156561417926,15.010313279365464,25.667791998124088,0,0,0.10184654827728089,177
B2_static_ccro_nubs,6,forward,True,0.0032218308759533504,0.010537762619027086,0.005737054327769125,0.0036937991101120143,8.0,8.0,0.0,0.4179403175486984,11.954338774235184,20.20050552953131,23.693358237369115,26.235123732888216,15.631211497701964,25.271617393829604,0,0,0.09853222856203614,173
B2_static_ccro_nubs,7,forward,True,0.003222136433650374,0.010031781236789994,0.004238592212930962,0.0023477235940111973,8.0,8.0,0.0,0.44716946374109834,15.191884809255587,19.975589635786317,23.46505906099788,26.20923196821468,14.669163731677445,25.067578739406212,0,0,0.10252140984215383,168
B2_static_ccro_nubs,8,forward,True,0.0032013459571420743,0.009195545299427732,0.004612936162713577,0.004166960312262824,8.0,8.0,0.0,0.42716001042458485,10.215966039012464,20.098463147971106,23.335007780072374,24.562612757814826,15.690980015594327,25.37376771464375,0,0,0.10323595427353281,163
B2_static_ccro_nubs,9,forward,True,0.003161338217488256,0.009197015740513126,0.004788489009194881,0.0038835658712298438,8.0,8.0,0.0,0.4324565379625306,14.982903778210654,19.64025158279485,23.968448424007153,27.83379468958869,14.850536649109081,25.288001573352055,0,0,0.10385419555961022,160
