frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
27,3.602280,1786351465.766432,2350,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.3809,0.41099885,-0.31594926,1.18336821,-0.07181265,1.57080734,0.41183519,0.42894986,-0.07622106,-0.11094248,-0.02938682,0.00002905,0.42972849
28,3.735509,1786351465.898832,2427,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,133.3072,0.46990371,-0.32640681,1.16819358,-0.07585116,1.57081103,0.47064468,0.44213158,-0.07849287,-0.11389862,-0.03031245,0.00002774,0.44141576
29,3.866564,1786351466.032160,2471,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,118.8058,0.52661878,-0.33649758,1.15352881,-0.07979428,1.57081103,0.52737075,0.43275861,-0.07699659,-0.11189804,-0.03008760,0.00000000,0.43284252
30,3.994219,1786351466.150995,2590,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.3928,0.58115500,-0.34617382,1.13945091,-0.08343664,1.57081103,0.58190328,0.42721468,-0.07579981,-0.11028058,-0.02853276,0.00000000,0.42718573
31,4.114648,1786351466.281408,2625,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,128.5325,0.63337308,-0.35548326,1.12594151,-0.08708999,1.57081473,0.63398558,0.43360038,-0.07730229,-0.11217720,-0.03033610,0.00003069,0.43247292
32,4.248417,1786351466.409972,2632,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.2228,0.68964428,-0.36597383,1.11075222,-0.09116517,1.57081831,0.69010645,0.42066002,-0.07842311,-0.11354881,-0.03046438,0.00002673,0.41953627
33,4.372877,1786351466.539215,2631,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,123.6365,0.73595309,-0.37563175,1.09668171,-0.09478918,1.57081831,0.73640430,0.37207700,-0.07759839,-0.11305220,-0.02911778,0.00000000,0.37198888
34,4.499257,1786351466.662871,2742,50000,1,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,126.7258,0.77541745,-0.38535202,1.08258176,-0.09862227,1.57082200,0.77567059,0.31226663,-0.07691282,-0.11156766,-0.03032982,0.00002924,0.31069941
35,4.628267,1786351466.789617,2592,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,133.7836,0.80906063,-0.39541340,1.06795001,-0.10249203,1.57082200,0.80929905,0.26078063,-0.07798946,-0.11341603,-0.02999596,0.00000000,0.26066651
36,4.756328,1786351466.923420,2689,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,125.4107,0.83519161,-0.40548214,1.05327427,-0.10641683,1.57082558,0.83530533,0.20405081,-0.07862453,-0.11459948,-0.03064782,0.00002793,0.20307712
37,4.884724,1786351467.048851,2654,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.9290,0.85327500,-0.41518408,1.03973556,-0.11015822,1.57082558,0.85330069,0.14084044,-0.07556243,-0.10544475,-0.02913939,0.00000000,0.14015478
38,5.013941,1786351467.180799,2668,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.1823,0.86468261,-0.42398736,1.02912390,-0.11400231,1.57082939,0.86473030,0.08828320,-0.06812832,-0.08212328,-0.02974930,0.00002952,0.08845341
39,5.151079,1786351467.312001,2729,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.399635,,,1,1.000000,SAFE,0,current,50000,129.8815,0.86928231,-0.42849171,1.02453887,-0.11736956,1.57082939,0.86928231,0.03354059,-0.03284540,-0.03343367,-0.02455375,0.00000000,0.03319288
40,5.280734,1786351467.441905,2757,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.399983,,,1,1.000000,SAFE,0,current,50000,132.4704,0.86979944,-0.42899054,1.02397406,-0.11783907,1.57083297,0.86978847,0.00398850,-0.00384736,-0.00435627,-0.00362118,0.00002758,0.00390391
41,5.412072,1786351467.574405,2674,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.399874,,,1,1.000000,SAFE,0,current,50000,131.7056,0.86978483,-0.42895755,1.02401435,-0.11783540,1.57083666,0.86979944,-0.00011119,0.00025119,0.00030679,0.00002791,0.00002814,0.00008350
42,5.544814,1786351467.706142,2713,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.399048,,,1,1.000000,SAFE,0,current,50000,126.8648,0.86920893,-0.42806989,1.02555859,-0.11747593,1.57083666,0.86939967,-0.00433851,0.00668715,0.01163343,0.00270809,0.00000000,-0.00301163
43,5.667739,1786351467.833036,2740,50000,1,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.397402,,,1,1.000000,SAFE,0,current,50000,130.4908,0.86783344,-0.42596808,1.02865446,-0.11621413,1.57083666,0.86780775,-0.01118967,0.01709823,0.02518489,0.01026470,0.00000000,-0.01295029
44,5.798733,1786351467.963558,2699,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.395235,,,1,1.000000,SAFE,0,current,50000,128.5167,0.86569124,-0.42283928,1.03346324,-0.11445715,1.57084036,0.86570597,-0.01635342,0.02388514,0.03671011,0.01341280,0.00002821,-0.01604492
45,5.935886,1786351468.092117,2659,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.392137,,,1,1.000000,SAFE,0,current,50000,131.1473,0.86304295,-0.41898048,1.03943479,-0.11247641,1.57084036,0.86303198,-0.01930905,0.02813505,0.04353935,0.01444181,0.00000000,-0.01949636
46,6.058441,1786351468.223293,2696,50000,2,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.389641,,,1,1.000000,SAFE,0,current,50000,130.3726,0.86075413,-0.41565725,1.04449666,-0.11073042,1.57084036,0.86073214,-0.01867580,0.02711614,0.04130269,0.01424650,0.00000000,-0.01876577
47,6.187391,1786351468.353687,2699,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.387230,,,1,1.000000,SAFE,0,current,50000,132.8458,0.85821587,-0.41209927,1.04991436,-0.10878271,1.57084036,0.85823053,-0.01968408,0.02759191,0.04201396,0.01510442,0.00000000,-0.01939981
48,6.322572,1786351468.486564,2713,50000,1,0,0,0.503225,upperArm_Link,0,0.630287,-0.622660,0.342495,,,,,no_stable_track,SAFE,SAFE,,0.384140,0.498255,,0,1.000000,SAFE,1,current,50000,156.8372,0.85563725,-0.40843123,1.05547142,-0.10690468,1.57084036,0.85560423,-0.01907536,0.02713439,0.04110845,0.01389276,0.00000000,-0.01942810
49,6.488144,1786351468.643427,2734,50000,1,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.381720,,,1,1.000000,SAFE,0,current,50000,129.1827,0.85239106,-0.40396726,1.06226826,-0.10463050,1.57084036,0.85239470,-0.01960579,0.02696075,0.04105041,0.01373520,0.00000000,-0.01938439
50,6.610433,1786351468.772629,2722,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.378533,,,1,1.000000,SAFE,0,current,50000,133.7831,0.84996647,-0.40059268,1.06733739,-0.10286251,1.57084036,0.84993351,-0.01982691,0.02759526,0.04145236,0.01445759,0.00000000,-0.02012618
51,6.741332,1786351468.906443,2684,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.376028,,,1,1.000000,SAFE,0,current,50000,131.6487,0.84740245,-0.39714840,1.07251298,-0.10109819,1.57084036,0.84740621,-0.01958763,0.02631242,0.03953863,0.01347842,0.00000000,-0.01930714
52,6.872273,1786351469.038111,2788,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.373533,,,1,1.000000,SAFE,0,current,50000,112.4513,0.84482753,-0.39371881,1.07768130,-0.09942557,1.57084036,0.84482390,-0.01966473,0.02619188,0.03947058,0.01277383,0.00000000,-0.01972118
53,6.993354,1786351469.150605,2675,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.371541,,,1,1.000000,SAFE,0,current,50000,131.8115,0.84246534,-0.39057529,1.08238006,-0.09788133,1.57084036,0.84244698,-0.01950928,0.02596225,0.03880689,0.01275382,0.00000000,-0.01963088
54,7.117681,1786351469.282437,2752,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.368827,,,1,1.000000,SAFE,0,current,50000,130.6259,0.83994544,-0.38731441,1.08722913,-0.09621238,1.57083666,0.83995640,-0.02026831,0.02622819,0.03900249,0.01342386,-0.00002972,-0.02003244
55,7.247349,1786351469.413093,2642,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.365743,,,1,1.000000,SAFE,0,current,50000,131.5245,0.83734477,-0.38397649,1.09218097,-0.09457277,1.57083666,0.83733380,-0.02005634,0.02574200,0.03818850,0.01264467,0.00000000,-0.02022550
56,7.378979,1786351469.544637,2689,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.363314,,,1,1.000000,SAFE,0,current,50000,129.1951,0.83471847,-0.38063860,1.09713650,-0.09303586,1.57083666,0.83473313,-0.01995220,0.02535821,0.03764755,0.01167599,0.00000000,-0.01975749
57,7.507546,1786351469.673852,2769,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.360835,,,1,1.000000,SAFE,0,current,50000,128.8566,0.83208483,-0.37734839,1.10211039,-0.09141827,1.57083666,0.83210313,-0.02048449,0.02559135,0.03868710,0.01258172,0.00000000,-0.02045621
58,7.639500,1786351469.802742,2640,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.358439,,,1,1.000000,SAFE,0,current,50000,130.8642,0.82944387,-0.37403250,1.10695946,-0.08976398,1.57083666,0.82944018,-0.02001421,0.02512910,0.03674812,0.01253677,0.00000000,-0.02018089
59,7.767647,1786351469.933625,2640,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.355327,,,1,1.000000,SAFE,0,current,50000,128.2360,0.82675517,-0.37079361,1.11175728,-0.08825643,1.57083666,0.82676619,-0.02098146,0.02527482,0.03744001,0.01176431,0.00000000,-0.02086657
60,7.900574,1786351470.061881,2738,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.352829,,,1,1.000000,SAFE,0,current,50000,127.4818,0.82400781,-0.36743370,1.11662841,-0.08674886,1.57083666,0.82398218,-0.02066822,0.02527645,0.03664525,0.01134133,0.00000000,-0.02094399
61,8.022134,1786351470.189384,2583,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.350221,,,1,1.000000,SAFE,0,current,50000,130.7488,0.82150990,-0.36445892,1.12095678,-0.08532567,1.57083666,0.82150257,-0.02054881,0.02447171,0.03560690,0.01170777,0.00000000,-0.02039828
