frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,trigger_horizon_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_raw_speed_m_s,predicted_object_filtered_speed_m_s,predicted_object_raw_velocity_x_m_s,predicted_object_raw_velocity_y_m_s,predicted_object_raw_velocity_z_m_s,predicted_object_velocity_ema_alpha,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
20,3.497672,1787103506.540951,2464,50000,0,2464,34,1678,0.013799,0.224195,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.002313,0.002791,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.461312,,0,1.000000,SAFE,1,current,50000,174.1621,0.99206954,-0.23645209,1.29742193,-0.03553219,1.57079637,0.99207681,0.07665747,-0.06232265,-0.06664753,-0.01126156,0.00000000,0.07663535
21,3.718106,1787103506.715130,2474,50000,0,2474,24,1656,0.009701,0.224610,1,0,0,,,,,,,,,,1.200,,no_stable_track,REFERENCE_ARMED,1,0,0,0,0.000000,0.400001,0.000023,0.000040,1.040070,26,0.025511,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.399984,0.467561,,0,1.000000,SAFE,1,current,50000,212.9628,0.99480957,-0.23920311,1.29467082,-0.03693337,1.57079637,0.99481326,0.01243013,-0.01248002,-0.01248043,-0.00635648,0.00000000,0.01241391
22,3.891540,1787103506.928112,2536,50000,0,2536,26,1701,0.010252,0.224960,1,0,0,,,,,,,,,,1.200,,reference_step_jump,RUNNING,1,5,5,1,0.170685,0.399973,0.000085,0.000143,1.206104,30,0.031343,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.399677,0.465702,,0,1.000000,SAFE,1,current,50000,173.9799,0.99475819,-0.23902339,1.29476619,-0.03694438,1.57079637,0.99478751,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
23,4.058791,1787103507.102110,2597,50000,0,2597,36,1759,0.013862,0.224019,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,10,5,0,0.378524,0.398570,0.000053,0.000081,1.413500,35,0.036020,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.397777,0.432913,,0,1.000000,SAFE,1,current,50000,177.9178,0.99354780,-0.23705733,1.29739618,-0.03650788,1.57079637,0.99354780,-0.00723696,0.01175512,0.01572481,0.00260982,0.00000000,-0.00741230
24,4.235196,1787103507.280046,2535,50000,0,2535,39,1738,0.015385,0.223003,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,14,4,0,0.544079,0.396003,0.000268,0.000477,1.579134,39,0.036570,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.394443,0.459982,,0,1.000000,SAFE,1,current,50000,187.4301,0.99096912,-0.23308118,1.30259013,-0.03511036,1.57079637,0.99095809,-0.01461797,0.02253997,0.02944341,0.00792225,0.00000000,-0.01468048
25,4.425972,1787103507.467497,2507,50000,0,2507,45,1698,0.017950,0.223080,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,19,5,0,0.750702,0.391954,0.000003,0.000018,1.786746,44,0.036710,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.390743,0.472181,,0,1.000000,SAFE,1,current,50000,184.3339,0.98746985,-0.22771852,1.30955565,-0.03345975,1.57079637,0.98747349,-0.01834229,0.02810971,0.03651149,0.00865208,0.00000000,-0.01826543
26,4.607432,1787103507.651862,2467,50000,0,2467,37,1693,0.014998,0.223034,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,23,4,0,0.915797,0.388643,0.000305,0.000569,1.953083,48,0.035903,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.387129,0.463415,,0,1.000000,SAFE,1,current,50000,174.9943,0.98411357,-0.22261997,1.31620586,-0.03201821,1.57079637,0.98411727,-0.01849590,0.02809728,0.03664822,0.00794408,0.00000000,-0.01849557
27,4.784276,1787103507.826872,2588,50000,0,2588,38,1768,0.014683,0.222979,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,28,5,0,1.122782,0.384437,0.000294,0.000558,2.160510,53,0.036266,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.383438,0.464267,,0,1.000000,SAFE,1,current,50000,172.3739,0.98074269,-0.21755075,1.32267630,-0.03062803,1.57079637,0.98073894,-0.01906134,0.02866490,0.03658845,0.00786107,0.00000000,-0.01910348
28,4.958350,1787103507.999269,2603,50000,0,2603,21,1790,0.008068,0.223986,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,32,4,0,1.289189,0.381129,0.000101,0.000198,2.327031,57,0.035517,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.380326,0.433444,,0,1.000000,SAFE,1,current,50000,173.8765,0.97742677,-0.21265759,1.32887518,-0.02923418,1.57079637,0.97743410,-0.01904894,0.02810970,0.03561062,0.00800723,0.00000000,-0.01898525
29,5.129685,1787103508.173163,2427,50000,0,2427,34,1680,0.014009,0.223267,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,36,4,0,1.454941,0.377838,0.000001,0.000018,2.493019,61,0.035121,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.376743,0.439578,,0,1.000000,SAFE,1,current,50000,178.6511,0.97419524,-0.20794418,1.33484304,-0.02791003,1.57079637,0.97417688,-0.01886091,0.02750993,0.03483160,0.00772849,0.00000000,-0.01901085
