frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,dynamic_valid,block_reason
84,11.098981,25,51,0.657339,-0.284758,0.395414,0.048223,0.050332,0.050332,0.100305,0.138703,0.171736,0.226736,0.138703,0.026374,29,1,1,
85,11.234931,25,52,0.658496,-0.283384,0.392141,0.045057,0.020633,0.020633,0.039575,0.142202,0.169792,0.224792,0.142202,0.030051,30,1,1,
86,11.373489,25,53,0.656061,-0.275774,0.389283,0.044507,0.037051,0.037051,0.083483,0.144348,0.169751,0.224751,0.144348,0.031773,31,1,1,
87,11.509150,25,54,0.657841,-0.261125,0.390234,0.050400,0.070994,0.070994,0.035525,0.141595,0.175998,0.230998,0.141595,0.027695,32,1,1,
88,11.646173,25,55,0.655102,-0.263131,0.392316,0.046353,0.040293,0.040293,0.076655,0.139383,0.168914,0.223914,0.139383,0.031832,33,1,1,
89,11.778454,25,56,0.653599,-0.256278,0.390295,0.045297,0.050636,0.050636,0.062465,0.142410,0.166589,0.221589,0.142410,0.034272,34,1,1,
90,11.903456,25,57,0.658700,-0.251085,0.388260,0.045352,0.046450,0.046450,0.024813,0.144344,0.165230,0.220230,0.144344,0.029779,35,1,1,
91,12.034338,25,58,0.658561,-0.242941,0.381335,0.046738,0.037809,0.037809,0.140225,0.146314,0.170442,0.225442,0.146314,0.032443,36,1,1,
92,12.159313,25,59,0.647408,-0.226560,0.386158,0.055466,0.073320,0.073320,0.041762,0.145496,0.192494,0.247494,0.145496,0.035592,37,1,1,
93,12.294304,25,60,0.661438,-0.232704,0.397086,0.049139,0.050145,0.050145,0.150704,0.137063,0.173825,0.228825,0.137063,0.029083,38,1,1,
94,12.423883,25,61,0.655643,-0.216407,0.390969,0.052927,0.066835,0.066835,0.043959,0.142474,0.181764,0.236764,0.142474,0.031733,39,1,1,
95,12.559803,25,62,0.646303,-0.223165,0.394718,0.046039,0.051342,0.051342,0.043681,0.148720,0.185269,0.240269,0.148720,0.038168,40,1,1,
96,12.693375,25,63,0.665129,-0.211382,0.388937,0.045633,0.044150,0.044150,0.093421,0.144951,0.174942,0.229942,0.144951,0.025269,41,1,1,
97,12.825546,25,64,0.661618,-0.185036,0.391070,0.059485,0.090056,0.090056,0.107228,0.140717,0.172618,0.227618,0.140717,0.028690,42,1,1,
98,12.960533,25,65,0.660589,-0.177647,0.388915,0.065914,0.073272,0.073272,0.043269,0.140559,0.177452,0.232452,0.140559,0.033284,43,1,1,
99,13.105175,25,66,0.657223,-0.176551,0.390803,0.063259,0.089366,0.089366,0.091256,0.145335,0.174655,0.229655,0.145335,0.030126,44,1,1,
100,13.227679,25,67,0.660008,-0.180685,0.395637,0.054039,0.059326,0.059326,0.093863,0.141901,0.172215,0.227215,0.141901,0.033575,45,1,1,
101,13.363944,25,68,0.648789,-0.169317,0.392974,0.052421,0.038030,0.038030,0.068959,0.147689,0.179700,0.234700,0.147689,0.036015,46,1,1,
102,13.498072,25,69,0.666930,-0.145254,0.392203,0.062695,0.061724,0.061724,0.165903,0.137634,0.174727,0.229727,0.137634,0.028175,47,1,1,
103,13.628865,25,70,0.665719,-0.133918,0.385325,0.070309,0.082077,0.082077,0.066270,0.139062,0.177247,0.232247,0.139062,0.031698,48,1,1,
104,13.764136,25,71,0.673949,-0.134215,0.394538,0.068561,0.091098,0.091098,0.085143,0.138659,0.170891,0.225891,0.138659,0.023833,49,1,1,
105,13.903811,25,72,0.682575,-0.134839,0.391658,0.062574,0.089920,0.089920,0.048479,0.135399,0.174426,0.229426,0.135399,0.019274,50,1,1,
106,14.033211,25,73,0.684756,-0.116720,0.394571,0.065931,0.062392,0.062392,0.100151,0.134724,0.168880,0.223880,0.134724,0.016590,51,1,1,
107,14.172266,25,74,0.684208,-0.096430,0.391024,0.075343,0.078319,0.078319,0.103725,0.136482,0.167316,0.222316,0.136482,0.020519,52,1,1,
108,14.303499,25,75,0.674046,-0.093903,0.391462,0.072472,0.074413,0.074413,0.087682,0.136168,0.163448,0.218448,0.136168,0.030448,53,1,1,
109,14.432366,25,76,0.674496,-0.077241,0.388098,0.077062,0.108551,0.108551,0.041615,0.139879,0.183285,0.238285,0.139879,0.032975,54,1,1,
110,14.570666,25,77,0.684858,-0.072610,0.392870,0.076577,0.083459,0.083459,0.159346,0.134141,0.167340,0.222340,0.134141,0.021932,55,1,1,
111,14.698023,25,78,0.681050,-0.058748,0.393790,0.078090,0.071455,0.071455,0.083673,0.139483,0.170204,0.225204,0.139483,0.023700,56,1,1,
112,14.820638,25,79,0.686785,-0.038207,0.390798,0.089847,0.111405,0.111405,0.101180,0.136452,0.167234,0.222234,0.136452,0.027833,57,1,1,
113,14.955192,25,80,0.685335,-0.028122,0.393374,0.091164,0.097849,0.097849,0.189535,0.138562,0.164306,0.219306,0.138562,0.026512,58,1,1,
