frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,risk_state_current,risk_state_predicted,max_track_speed_m_s,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
13,1.766155,1786344517.322929,2713,50000,1,1,1,0.460628,upperArm_Link,0,0.622610,-0.580012,0.386675,0.381205,upperArm_Link,0.000,SAFE,SAFE,0.000000,125.8926,0.84183449,-0.39111084,1.08160985,-0.09847188,1.57122171,0.84181976,-0.01949043,0.02571000,0.03856579,0.01263286,0.00000000,-0.01935192
14,1.889871,1786344517.448839,2602,50000,1,1,1,0.477978,upperArm_Link,0,0.624928,-0.579978,0.387824,0.387183,upperArm_Link,0.000,SAFE,SAFE,0.000000,131.5487,0.83931822,-0.38785362,1.08644056,-0.09682860,1.57122171,0.83929980,-0.02033908,0.02632816,0.03904683,0.01328266,0.00000000,-0.02036895
15,2.024744,1786344517.580406,2708,50000,1,1,1,0.464522,upperArm_Link,0,0.621893,-0.574422,0.385102,0.390814,upperArm_Link,0.000,SAFE,SAFE,0.000000,131.4438,0.83662951,-0.38437265,1.09158683,-0.09509730,1.57121813,0.83660018,-0.01993505,0.02580919,0.03815629,0.01283654,-0.00002652,-0.02001592
16,2.155301,1786344517.711869,2612,50000,1,1,1,0.469911,upperArm_Link,0,0.621525,-0.572704,0.392543,0.387279,upperArm_Link,0.000,SAFE,SAFE,0.000000,132.0096,0.83397758,-0.38105309,1.09657907,-0.09353838,1.57121813,0.83399588,-0.02031241,0.02542612,0.03823802,0.01194048,0.00000000,-0.01994763
17,2.284670,1786344517.843896,2726,50000,1,1,1,0.474491,upperArm_Link,0,0.622774,-0.576527,0.382746,0.388049,upperArm_Link,0.000,SAFE,SAFE,0.000000,131.2755,0.83136594,-0.37777385,1.10154545,-0.09197581,1.57121813,0.83135122,-0.02018751,0.02534796,0.03838926,0.01207842,0.00000000,-0.02044276
18,2.417677,1786344517.975188,2525,50000,1,1,1,0.470595,upperArm_Link,0,0.623448,-0.575310,0.384616,0.375240,upperArm_Link,0.000,SAFE,SAFE,0.000000,131.9574,0.82871759,-0.37444699,1.10638368,-0.09031419,1.57121444,0.82870287,-0.01991134,0.02501263,0.03637565,0.01249270,-0.00002778,-0.01991134
19,2.549544,1786344518.107163,2801,50000,1,1,1,0.461726,upperArm_Link,0,0.620996,-0.576364,0.387188,0.385956,upperArm_Link,0.000,SAFE,SAFE,0.000000,134.1874,0.82593352,-0.37109074,1.11133909,-0.08869659,1.57121444,0.82592255,-0.02111289,0.02545195,0.03757913,0.01226696,0.00000000,-0.02108441
20,2.683833,1786344518.241379,2689,50000,1,1,1,0.473663,upperArm_Link,0,0.623247,-0.579885,0.379781,0.374619,upperArm_Link,0.000,SAFE,SAFE,0.000000,131.7574,0.82317150,-0.36773446,1.11621392,-0.08721104,1.57121444,0.82312751,-0.02056764,0.02499284,0.03630085,0.01106234,0.00000000,-0.02081354
21,2.819126,1786344518.373153,2654,50000,1,1,1,0.468117,upperArm_Link,0,0.620702,-0.577029,0.388099,0.389063,upperArm_Link,0.000,SAFE,SAFE,0.000000,134.4210,0.82035816,-0.36438558,1.12109613,-0.08565579,1.57121086,0.82033247,-0.02079440,0.02475283,0.03608622,0.01149535,-0.00002643,-0.02065915
22,2.950963,1786344518.507591,2596,50000,1,1,1,0.455284,upperArm_Link,0,0.622453,-0.578343,0.388978,0.373003,upperArm_Link,0.000,SAFE,SAFE,0.000000,132.1267,0.81767678,-0.36119437,1.12580216,-0.08410422,1.57121086,0.81763279,-0.02033860,0.02420572,0.03569586,0.01176892,0.00000000,-0.02047740
23,3.080406,1786344518.639736,2671,50000,1,1,1,0.476226,upperArm_Link,0,0.623503,-0.576813,0.384447,0.385892,upperArm_Link,0.000,SAFE,SAFE,0.000000,131.9723,0.81493682,-0.35805088,1.13048613,-0.08268102,1.57121086,0.81491846,-0.02116738,0.02428476,0.03618563,0.01099477,0.00000000,-0.02096938
24,3.221289,1786344518.771726,2746,50000,1,1,1,0.460129,upperArm_Link,0,0.620537,-0.575750,0.385171,0.383554,upperArm_Link,0.000,SAFE,SAFE,0.000000,136.6353,0.81202072,-0.35466161,1.13534999,-0.08121014,1.57120717,0.81196940,-0.02069870,0.02405731,0.03452406,0.01044042,-0.00002623,-0.02093266
25,3.354924,1786344518.908390,2679,50000,1,1,1,0.443483,upperArm_Link,0,0.620926,-0.571900,0.380885,0.359378,upperArm_Link,0.000,SAFE,SAFE,0.000000,133.6493,0.80915231,-0.35144845,1.14006341,-0.07975761,1.57120717,0.80912668,-0.02146447,0.02404427,0.03527070,0.01086939,0.00000000,-0.02127223
26,3.487013,1786344519.042056,2608,50000,1,1,1,0.473198,upperArm_Link,0,0.622535,-0.570071,0.396489,0.383072,upperArm_Link,0.000,SAFE,SAFE,0.000000,127.3813,0.80640131,-0.34834161,1.14451277,-0.07830506,1.57120717,0.80637926,-0.02082695,0.02352090,0.03368483,0.01099683,0.00000000,-0.02079987
27,3.612281,1786344519.169465,2686,50000,1,1,1,0.463193,upperArm_Link,0,0.621170,-0.565833,0.392227,0.380914,upperArm_Link,0.000,SAFE,SAFE,0.000000,131.3936,0.80372363,-0.34541085,1.14872742,-0.07700291,1.57120347,0.80372363,-0.02137553,0.02339585,0.03364491,0.01039484,-0.00002950,-0.02119948
28,3.747240,1786344519.300876,2700,50000,1,1,1,0.464033,upperArm_Link,0,0.624549,-0.569283,0.378206,0.353309,upperArm_Link,0.000,SAFE,SAFE,0.015134,134.3692,0.80082589,-0.34224537,1.15320230,-0.07566409,1.57120347,0.80082589,-0.02147128,0.02345518,0.03315735,0.00992024,0.00000000,-0.02147128
29,3.876206,1786344519.435273,2672,50000,1,1,1,0.460604,upperArm_Link,0,0.622088,-0.566445,0.383712,0.376390,upperArm_Link,0.000,SAFE,SAFE,0.000000,136.6239,0.79804188,-0.33923024,1.15756357,-0.07437661,1.57120347,0.79800886,-0.02158712,0.02337919,0.03381711,0.00998308,0.00000000,-0.02184316
30,4.015239,1786344519.571925,2666,50000,1,1,1,0.474528,upperArm_Link,0,0.624999,-0.572278,0.394470,0.379305,upperArm_Link,0.000,SAFE,SAFE,0.000000,131.1179,0.79498643,-0.33600971,1.16225505,-0.07296441,1.57119977,0.79498273,-0.02197653,0.02316385,0.03374377,0.01015727,-0.00002658,-0.02176561
31,4.145956,1786344519.703060,2682,50000,1,1,1,0.460665,upperArm_Link,0,0.624071,-0.563941,0.395253,0.371876,upperArm_Link,0.000,SAFE,SAFE,0.000000,136.0670,0.79216933,-0.33302760,1.16647327,-0.07166593,1.57119977,0.79213637,-0.02155097,0.02281335,0.03226969,0.00993352,0.00000000,-0.02177486
32,4.279484,1786344519.839145,2712,50000,1,1,1,0.439976,upperArm_Link,0,0.621086,-0.552395,0.386884,0.363849,upperArm_Link,0.000,SAFE,SAFE,0.000000,127.1745,0.78919089,-0.32996112,1.17084181,-0.07036378,1.57119977,0.78916520,-0.02230586,0.02296517,0.03271645,0.00975189,0.00000000,-0.02225140
33,4.413916,1786344519.966336,2573,50000,1,1,1,0.452859,upperArm_Link,0,0.623019,-0.549539,0.392308,0.369541,upperArm_Link,0.000,SAFE,SAFE,0.000000,133.0322,0.78625286,-0.32694232,1.17512977,-0.06912766,1.57119620,0.78620511,-0.02185516,0.02245594,0.03189686,0.00919518,-0.00002660,-0.02201921
34,4.545421,1786344520.099386,2742,50000,1,1,1,0.443742,upperArm_Link,0,0.619608,-0.548830,0.397144,0.365113,upperArm_Link,0.000,SAFE,SAFE,0.000000,134.0363,0.78336239,-0.32402995,1.17918658,-0.06794655,1.57119620,0.78334409,-0.02197984,0.02214641,0.03084901,0.00898141,0.00000000,-0.02175594
35,4.675045,1786344520.233440,2741,50000,1,1,1,0.432122,upperArm_Link,0,0.618741,-0.543940,0.397512,0.339368,upperArm_Link,0.000,SAFE,SAFE,0.013782,132.1510,0.78049767,-0.32118356,1.18321788,-0.06675078,1.57119620,0.78045732,-0.02210028,0.02195888,0.03110004,0.00922496,0.00000000,-0.02227041
36,4.806525,1786344520.365609,2709,50000,1,1,1,0.415321,upperArm_Link,0,0.617808,-0.541225,0.392236,0.348662,upperArm_Link,0.000,SAFE,SAFE,0.000000,131.1960,0.77757061,-0.31831512,1.18733692,-0.06554766,1.57119250,0.77755588,-0.02226247,0.02181661,0.03132830,0.00915061,-0.00002811,-0.02206753
37,4.938730,1786344520.496823,2719,50000,1,1,1,0.426257,upperArm_Link,0,0.620890,-0.541607,0.389411,0.340245,upperArm_Link,0.000,SAFE,SAFE,0.011830,131.8380,0.77455914,-0.31539908,1.19146347,-0.06434822,1.57119250,0.77452612,-0.02277873,0.02205692,0.03121322,0.00907256,0.00000000,-0.02291714
38,5.069636,1786344520.628678,2739,50000,1,1,1,0.420524,upperArm_Link,0,0.622815,-0.536947,0.387483,0.343769,upperArm_Link,0.000,SAFE,SAFE,0.000000,134.2920,0.77160275,-0.31255636,1.19539928,-0.06325515,1.57119250,0.77161002,-0.02258398,0.02171568,0.03006583,0.00835004,0.00000000,-0.02227618
39,5.214568,1786344520.763001,2746,50000,1,1,1,0.388681,upperArm_Link,0,0.617802,-0.529289,0.389633,0.330918,upperArm_Link,0.000,SAFE,SAFE,0.000000,134.3578,0.76834184,-0.30945319,1.19974971,-0.06206303,1.57118869,0.76831985,-0.02249967,0.02141126,0.03001710,0.00822534,-0.00002632,-0.02270159
40,5.338191,1786344520.897376,2720,50000,1,1,1,0.427580,upperArm_Link,0,0.619856,-0.529611,0.402445,0.344970,upperArm_Link,0.000,SAFE,SAFE,0.000000,126.6711,0.76559448,-0.30689290,1.20324159,-0.06106900,1.57118869,0.76559085,-0.02222360,0.02071038,0.02824610,0.00804086,0.00000000,-0.02207510
41,5.468302,1786344521.024064,2699,50000,1,1,1,0.420832,upperArm_Link,0,0.617207,-0.526179,0.396472,0.348498,upperArm_Link,0.000,SAFE,SAFE,0.000000,135.1155,0.76263803,-0.30415657,1.20711863,-0.05994658,1.57118869,0.76259041,-0.02272251,0.02103073,0.02979796,0.00862659,0.00000000,-0.02306060
42,5.601594,1786344521.159197,2694,50000,1,1,1,0.425768,upperArm_Link,0,0.617239,-0.523615,0.394993,0.315048,upperArm_Link,0.000,SAFE,SAFE,0.013857,134.6853,0.75951290,-0.30132118,1.21099579,-0.05882050,1.57118511,0.75949085,-0.02344576,0.02127205,0.02908775,0.00844825,-0.00002683,-0.02325392
43,5.737891,1786344521.293911,2585,50000,1,1,1,0.417616,upperArm_Link,0,0.621327,-0.511718,0.398861,0.343578,upperArm_Link,0.000,SAFE,SAFE,0.021065,133.7080,0.75640970,-0.29852980,1.21479964,-0.05775677,1.57118511,0.75636208,-0.02276801,0.02048019,0.02790866,0.00780451,0.00000000,-0.02295562
44,5.869213,1786344521.427651,2685,50000,1,1,1,0.407454,upperArm_Link,0,0.621750,-0.502797,0.392432,0.330742,upperArm_Link,0.000,SAFE,SAFE,0.033451,126.8268,0.75325888,-0.29577509,1.21870232,-0.05675173,1.57118511,0.75325888,-0.02399312,0.02097685,0.02971839,0.00765328,0.00000000,-0.02363047
45,5.996952,1786344521.554496,2671,50000,1,1,1,0.407954,upperArm_Link,0,0.617740,-0.507317,0.393075,0.300626,upperArm_Link,0.000,SAFE,SAFE,0.039740,132.4483,0.75035751,-0.29321849,1.22219431,-0.05581638,1.57118142,0.75030613,-0.02271322,0.02001411,0.02733686,0.00732229,-0.00002893,-0.02311543
46,6.129341,1786344521.686971,2682,50000,1,1,1,0.403778,upperArm_Link,0,0.623670,-0.481419,0.398626,0.323906,upperArm_Link,0.000,SAFE,SAFE,0.057530,121.4610,0.74718833,-0.29050782,1.22598338,-0.05477099,1.57118142,0.74716997,-0.02393833,0.02047499,0.02862064,0.00789631,0.00000000,-0.02368890
47,6.249699,1786344521.808453,2644,50000,1,1,1,0.384569,upperArm_Link,0,0.619624,-0.466065,0.393930,0.304146,upperArm_Link,0.000,SAFE,SAFE,0.059939,123.4263,0.74437129,-0.28809059,1.22925520,-0.05385032,1.57118142,0.74435657,-0.02340555,0.02008380,0.02718416,0.00764951,0.00000000,-0.02337534
48,6.376346,1786344521.931919,2759,50000,1,1,1,0.372270,upperArm_Link,0,0.619368,-0.459172,0.391865,0.295957,upperArm_Link,0.000,SAFE,SAFE,0.060161,125.5024,0.74140751,-0.28560364,1.23267376,-0.05291497,1.57117784,0.74140751,-0.02340197,0.01963687,0.02699294,0.00738548,-0.00002824,-0.02328573
49,6.498553,1786344522.057438,2531,50000,1,1,1,0.371283,upperArm_Link,0,0.620131,-0.460249,0.397809,0.299999,upperArm_Link,0.000,SAFE,SAFE,0.065224,131.9840,0.73843271,-0.28313506,1.23603737,-0.05202364,1.57117784,0.73842907,-0.02434224,0.02019993,0.02752372,0.00729358,0.00000000,-0.02437199
50,6.631374,1786344522.189440,2633,50000,1,1,1,0.383443,upperArm_Link,0,0.622245,-0.446654,0.399601,0.300557,upperArm_Link,0.000,SAFE,SAFE,0.073124,127.4325,0.73534060,-0.28058213,1.23944128,-0.05114331,1.57117414,0.73532224,-0.02328037,0.01922088,0.02562784,0.00662795,-0.00002782,-0.02339121
51,6.766736,1786344522.316901,2737,50000,1,1,1,0.345030,upperArm_Link,0,0.616737,-0.432785,0.391964,0.277201,upperArm_Link,0.000,SAFE,SAFE,0.066910,135.3462,0.73209441,-0.27798149,1.24306536,-0.05022631,1.57117414,0.73206872,-0.02398153,0.01921248,0.02677326,0.00677447,0.00000000,-0.02403569
52,6.897754,1786344522.452265,2630,50000,1,1,1,0.363649,upperArm_Link,0,0.620665,-0.432954,0.395907,0.291003,upperArm_Link,0.000,SAFE,SAFE,0.065925,134.8514,0.72896183,-0.27546158,1.24635196,-0.04934965,1.57117045,0.72894722,-0.02390951,0.01923325,0.02508506,0.00669114,-0.00002821,-0.02382490
53,7.032651,1786344522.587134,2748,50000,1,1,1,0.357136,upperArm_Link,0,0.620353,-0.428694,0.400759,0.284959,upperArm_Link,0.000,SAFE,SAFE,0.062113,135.1994,0.72570103,-0.27290863,1.24986589,-0.04843998,1.57117045,0.72564602,-0.02417250,0.01892527,0.02604906,0.00674344,0.00000000,-0.02447208
54,7.165436,1786344522.722352,2622,50000,1,1,1,0.356181,upperArm_Link,0,0.619049,-0.418478,0.401187,0.296574,upperArm_Link,0.000,SAFE,SAFE,0.055110,133.0287,0.72240341,-0.27034834,1.25329924,-0.04750830,1.57117045,0.72239244,-0.02483436,0.01928147,0.02585646,0.00701649,0.00000000,-0.02450263
55,7.300614,1786344522.855409,2583,50000,1,1,1,0.351855,upperArm_Link,0,0.619548,-0.415075,0.401429,0.282926,upperArm_Link,0.000,SAFE,SAFE,0.058188,136.2743,0.71912420,-0.26782474,1.25672877,-0.04663531,1.57117045,0.71908021,-0.02425839,0.01866868,0.02537042,0.00645805,0.00000000,-0.02450267
56,7.434388,1786344522.991700,2647,50000,1,1,1,0.354213,upperArm_Link,0,0.622830,-0.421209,0.398534,0.287512,upperArm_Link,0.000,SAFE,SAFE,0.052665,132.3403,0.71579731,-0.26534146,1.26005566,-0.04579166,1.57116675,0.71578997,-0.02486947,0.01856321,0.02486947,0.00630651,-0.00002762,-0.02459545
57,7.566732,1786344523.124057,2669,50000,1,1,1,0.362830,upperArm_Link,0,0.621976,-0.400803,0.396153,0.287276,upperArm_Link,0.000,SAFE,SAFE,0.000000,131.9838,0.71260244,-0.26294991,1.26325047,-0.04500304,1.57116675,0.71256578,-0.02414067,0.01807071,0.02414022,0.00595888,0.00000000,-0.02436225
58,7.700362,1786344523.256059,2755,50000,1,1,1,0.342074,upperArm_Link,0,0.619124,-0.390538,0.400406,0.261105,upperArm_Link,0.000,SAFE,SAFE,0.021715,132.4224,0.70922422,-0.26049969,1.26649296,-0.04419607,1.57116318,0.70923156,-0.02528038,0.01833593,0.02426474,0.00603884,-0.00002676,-0.02495120
59,7.831222,1786344523.388499,2713,50000,1,1,1,0.334995,upperArm_Link,0,0.619527,-0.379834,0.396326,0.275484,upperArm_Link,0.000,SAFE,SAFE,0.034053,120.2339,0.70601839,-0.25817782,1.26966953,-0.04343312,1.57116318,0.70599270,-0.02449822,0.01774316,0.02427458,0.00583028,0.00000000,-0.02475056
60,7.953140,1786344523.508749,2666,50000,1,1,1,0.332945,upperArm_Link,0,0.616552,-0.375633,0.401694,0.266231,upperArm_Link,0.000,SAFE,SAFE,0.040920,128.1171,0.70299590,-0.25603202,1.27246463,-0.04272519,1.57116318,0.70299590,-0.02479108,0.01760026,0.02292597,0.00580657,0.00000000,-0.02458037
61,8.077079,1786344523.636885,2671,50000,1,1,1,0.335150,upperArm_Link,0,0.621174,-0.375474,0.406748,0.279182,upperArm_Link,0.000,SAFE,SAFE,0.044710,130.3470,0.69987440,-0.25386056,1.27539527,-0.04196591,1.57115948,0.69982308,-0.02518569,0.01752033,0.02364579,0.00612624,-0.00002982,-0.02559976
62,8.211436,1786344523.767249,2541,50000,1,1,1,0.344147,upperArm_Link,0,0.625980,-0.376793,0.394835,0.276473,upperArm_Link,0.000,SAFE,SAFE,0.042136,132.6845,0.69643748,-0.25148001,1.27848744,-0.04119562,1.57115948,0.69641185,-0.02558071,0.01771822,0.02301474,0.00573317,0.00000000,-0.02538950
63,8.340594,1786344523.899951,2751,50000,1,1,1,0.348688,upperArm_Link,0,0.617042,-0.354846,0.397807,0.257184,upperArm_Link,0.000,SAFE,SAFE,0.043688,133.4293,0.69316930,-0.24922416,1.28145134,-0.04046568,1.57115948,0.69311792,-0.02530370,0.01746583,0.02294781,0.00565152,0.00000000,-0.02550306
64,8.476613,1786344524.033412,2654,50000,1,1,1,0.336004,upperArm_Link,0,0.620631,-0.347349,0.394001,0.241859,upperArm_Link,0.000,SAFE,SAFE,0.046235,125.2103,0.68971395,-0.24692431,1.28455806,-0.03972108,1.57115591,0.68969196,-0.02540328,0.01690821,0.02284021,0.00547427,-0.00002629,-0.02518724
65,8.600179,1786344524.158650,2658,50000,1,1,1,0.332931,upperArm_Link,0,0.620791,-0.346011,0.399689,0.252076,upperArm_Link,0.000,SAFE,SAFE,0.046607,131.1421,0.68654114,-0.24477851,1.28734207,-0.03906450,1.57115591,0.68649352,-0.02567714,0.01736563,0.02253062,0.00531357,0.00000000,-0.02588456
66,8.740086,1786344524.289811,2712,50000,1,1,1,0.327938,upperArm_Link,0,0.620760,-0.347128,0.395171,0.260695,upperArm_Link,0.000,SAFE,SAFE,0.044292,134.6288,0.68292445,-0.24243098,1.29043055,-0.03835290,1.57115209,0.68292081,-0.02585070,0.01677922,0.02207521,0.00508622,-0.00002727,-0.02553629
67,8.867513,1786344524.424467,2557,50000,1,1,1,0.327340,upperArm_Link,0,0.620977,-0.348909,0.393861,0.253881,upperArm_Link,0.000,SAFE,SAFE,0.000000,134.4698,0.67970395,-0.24036588,1.29317427,-0.03772200,1.57115209,0.67969656,-0.02527321,0.01620615,0.02153165,0.00495109,0.00000000,-0.02530268
68,9.000308,1786344524.558955,2602,50000,1,1,1,0.335422,upperArm_Link,0,0.622958,-0.347609,0.392196,0.250049,upperArm_Link,0.000,SAFE,SAFE,0.000000,121.8446,0.67619729,-0.23816139,1.29603910,-0.03705442,1.57115209,0.67619729,-0.02640669,0.01660079,0.02157348,0.00502717,0.00000000,-0.02635103
69,9.122357,1786344524.680818,2620,50000,1,1,1,0.335442,upperArm_Link,0,0.624872,-0.337577,0.399052,0.257794,upperArm_Link,0.000,SAFE,SAFE,0.000000,131.0702,0.67307949,-0.23620266,1.29862857,-0.03645653,1.57114840,0.67307949,-0.02554540,0.01604865,0.02121653,0.00489873,-0.00003028,-0.02554540
70,9.256406,1786344524.811910,2578,50000,1,1,1,0.331688,upperArm_Link,0,0.620955,-0.342549,0.392167,0.243190,upperArm_Link,0.000,SAFE,SAFE,0.000000,133.9058,0.66954720,-0.23403487,1.30140173,-0.03579262,1.57114840,0.66952515,-0.02635066,0.01617158,0.02068764,0.00495275,0.00000000,-0.02651518
71,9.389880,1786344524.945834,2683,50000,1,1,1,0.324451,upperArm_Link,0,0.619766,-0.343082,0.400693,0.260053,upperArm_Link,0.000,SAFE,SAFE,0.000000,134.5755,0.66598922,-0.23186339,1.30421865,-0.03513237,1.57114482,0.66599286,-0.02665685,0.01626895,0.02110470,0.00494666,-0.00002679,-0.02646438
72,9.525837,1786344525.080427,2555,50000,1,1,1,0.329923,upperArm_Link,0,0.621670,-0.348588,0.402872,0.241985,upperArm_Link,0.000,SAFE,SAFE,0.000000,128.4527,0.66244954,-0.22974327,1.30691838,-0.03449047,1.57114482,0.66239822,-0.02603520,0.01559401,0.01985718,0.00472134,0.00000000,-0.02643941
73,9.652266,1786344525.208898,2620,50000,1,1,1,0.327938,upperArm_Link,0,0.622142,-0.335447,0.386860,0.241424,upperArm_Link,0.000,SAFE,SAFE,0.000000,131.2035,0.65911901,-0.22783589,1.30943835,-0.03391825,1.57114112,0.65911531,-0.02634322,0.01508664,0.01993197,0.00452601,-0.00002923,-0.02596653
74,9.780886,1786344525.340119,2466,50000,1,1,1,0.333522,upperArm_Link,0,0.619844,-0.332377,0.383966,0.224380,upperArm_Link,0.000,SAFE,SAFE,0.000000,131.4614,0.65569305,-0.22581114,1.31203890,-0.03333871,1.57114112,0.65565634,-0.02663621,0.01574211,0.02021883,0.00450588,0.00000000,-0.02689294
75,9.911969,1786344525.471598,2640,50000,1,1,1,0.336265,upperArm_Link,0,0.620007,-0.321008,0.387405,0.226936,upperArm_Link,0.000,SAFE,SAFE,0.017492,124.8580,0.65219003,-0.22383408,1.31458449,-0.03278117,1.57114112,0.65218639,-0.02672365,0.01508244,0.01941967,0.00425334,0.00000000,-0.02647128
76,10.083583,1786344525.596484,2630,50000,1,1,1,0.324649,upperArm_Link,0,0.620338,-0.319532,0.399378,0.235175,upperArm_Link,0.000,SAFE,SAFE,0.022694,154.4357,0.64749497,-0.22120409,1.31797755,-0.03204756,1.57113743,0.64750236,-0.02735836,0.01532513,0.01977151,0.00427474,-0.00002153,-0.02729411
77,10.194909,1786344525.750938,2602,50000,1,1,1,0.325336,upperArm_Link,0,0.623512,-0.312989,0.398032,0.244142,upperArm_Link,0.000,SAFE,SAFE,0.026996,132.8757,0.64454222,-0.21956448,1.32008290,-0.03159273,1.57113743,0.64454222,-0.02652329,0.01472784,0.01891147,0.00408559,0.00000000,-0.02658968
78,10.325326,1786344525.883832,2613,50000,1,1,1,0.316290,upperArm_Link,0,0.619141,-0.314788,0.396304,0.237958,upperArm_Link,0.000,SAFE,SAFE,0.000000,134.4569,0.64100987,-0.21768646,1.32252574,-0.03106453,1.57113373,0.64102095,-0.02708505,0.01440014,0.01873097,0.00405005,-0.00002834,-0.02700004
