frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
20,3.532476,1786955127.505039,2443,50000,0,2443,22,1639,0.009005,0.222974,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.001028,0.001265,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.399754,0.433089,,0,1.000000,SAFE,1,current,50000,165.5240,0.99358445,-0.23794866,1.29583728,-0.03606038,1.57079637,0.99358082,0.05669149,-0.04994478,-0.05256111,-0.01095798,0.00000000,0.05636426
21,3.725472,1786955127.670582,2563,50000,0,2563,13,1734,0.005072,0.225217,1,0,0,,,,,,,,,,,no_stable_track,REFERENCE_ARMED,1,0,0,0,0.000000,0.400001,0.000016,0.000048,1.040070,26,0.025504,,,,,,,,0,0,,SAFE,SAFE,,0.399986,0.425797,,0,1.000000,SAFE,1,current,50000,179.4162,0.99481326,-0.23922145,1.29467821,-0.03694071,1.57079637,0.99481326,0.00636703,-0.00659495,-0.00600569,-0.00456140,0.00000000,0.00638587
22,3.874755,1786955127.850041,2467,50000,0,2467,22,1678,0.008918,0.224297,1,0,0,,,,,,,,,,,reference_step_jump,RUNNING,1,5,5,1,0.170685,0.399973,0.000086,0.000139,1.206104,30,0.031336,,,,,,,,0,0,,SAFE,SAFE,,0.399680,0.457533,,0,1.000000,SAFE,1,current,50000,162.6480,0.99475449,-0.23902705,1.29477358,-0.03694438,1.57079637,0.99478388,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
23,4.036284,1786955128.012702,2528,50000,0,2528,34,1770,0.013449,0.223820,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,10,5,0,0.378524,0.398570,0.000007,0.000128,1.413500,35,0.036141,,,,,,,,0,0,,SAFE,SAFE,,0.398132,0.427276,,0,1.000000,SAFE,1,current,50000,165.8251,0.99359542,-0.23716003,1.29727519,-0.03655924,1.57079637,0.99362481,-0.00717561,0.01155842,0.01548700,0.00238435,0.00000000,-0.00717561
24,4.203489,1786955128.178557,2395,50000,0,2395,65,1727,0.027140,0.223874,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,14,4,0,0.544079,0.396003,0.000004,0.000022,1.579134,39,0.037069,,,,,,,,0,0,,SAFE,SAFE,,0.394941,0.421817,,0,1.000000,SAFE,1,current,50000,176.3053,0.99122226,-0.23346631,1.30209124,-0.03523508,1.57079637,0.99121493,-0.01419315,0.02209099,0.02880337,0.00791939,0.00000000,-0.01441274
25,4.381936,1786955128.354892,2524,50000,1,2524,112,1731,0.044374,0.224993,1,0,0,0.379604,upperArm_Link,0,0.573600,-0.467000,0.374999,,,,,no_stable_track,RUNNING,1,18,4,0,0.709186,0.392744,0.000295,0.000550,1.745168,43,0.036273,0.000000,0.000000,0.000000,0.000000,0.095546,1,0.013637,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.391343,0.367662,,0,1.000000,SAFE,1,current,50000,183.3997,0.98792100,-0.22841544,1.30862391,-0.03365783,1.57079637,0.98793572,-0.01849994,0.02830455,0.03660841,0.00883875,0.00000000,-0.01837635
26,4.564327,1786955128.538322,2576,50000,1,2576,114,1762,0.044255,0.225358,1,0,0,0.395355,upperArm_Link,0,0.585622,-0.461972,0.373179,,,,,no_stable_track,RUNNING,1,23,5,0,0.915797,0.388643,0.000201,0.000392,1.953083,48,0.036864,0.076973,0.050650,0.057213,-0.009280,0.102985,2,0.016120,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.387632,0.396051,,0,1.000000,SAFE,1,current,50000,183.0537,0.98459041,-0.22330955,1.31524479,-0.03220529,1.57079637,0.98457944,-0.01826072,0.02799426,0.03630052,0.00796388,0.00000000,-0.01840156
27,4.748313,1786955128.721392,2588,50000,1,2588,162,1834,0.062597,0.223375,1,1,0,0.372652,upperArm_Link,0,0.578838,-0.452198,0.377401,,,,,predicted_track_not_dynamic,RUNNING,1,27,4,0,1.081442,0.385326,0.000202,0.000348,2.119122,52,0.035708,0.041908,0.000637,0.039156,-0.014923,0.104981,3,0.021723,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.383633,0.352713,,0,1.000000,SAFE,1,current,50000,178.7796,0.98110950,-0.21810462,1.32197559,-0.03078576,1.57079637,0.98110950,-0.01891945,0.02828984,0.03658322,0.00771542,0.00000000,-0.01885984
28,4.932696,1786955128.900190,2541,50000,1,2541,168,1762,0.066116,0.225044,1,1,0,0.374364,upperArm_Link,0,0.579238,-0.447998,0.381406,,,,,predicted_track_not_dynamic,RUNNING,1,32,5,0,1.289189,0.381129,0.000300,0.000572,2.327031,57,0.035892,0.038116,0.009422,0.035176,-0.011258,0.106005,4,0.021618,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.380626,0.355935,,0,1.000000,SAFE,1,current,50000,175.8576,0.97761381,-0.21293269,1.32850111,-0.02931488,1.57079637,0.97761750,-0.01895883,0.02804985,0.03539103,0.00797729,0.00000000,-0.01893879
29,5.099255,1786955129.076066,2587,50000,1,2587,139,1746,0.053730,0.226310,1,1,0,0.370736,upperArm_Link,0,0.582800,-0.441058,0.382798,,,,,predicted_track_not_dynamic,RUNNING,1,36,4,0,1.454941,0.377838,0.000299,0.000558,2.493019,61,0.035661,0.049650,0.019581,0.045577,-0.002121,0.102490,5,0.016296,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.012910,0.376938,0.350081,,0,1.000000,SAFE,1,current,50000,170.0448,0.97447401,-0.20836233,1.33430386,-0.02802373,1.57079637,0.97444463,-0.01885099,0.02743999,0.03483910,0.00775191,0.00000000,-0.01904960
30,5.270018,1786955129.246129,2520,50000,1,2520,158,1681,0.062698,0.224296,1,1,0,0.383696,upperArm_Link,0,0.585462,-0.441741,0.389812,,,,,predicted_track_not_dynamic,RUNNING,1,40,4,0,1.620678,0.374536,0.000198,0.000348,2.658917,65,0.035129,0.026287,0.016574,0.019085,0.007218,0.105746,6,0.016746,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.017082,0.373330,0.384969,,0,1.000000,SAFE,1,current,50000,181.7022,0.97119480,-0.20368926,1.34021676,-0.02679128,1.57079637,0.97120214,-0.01920332,0.02736584,0.03462643,0.00721737,0.00000000,-0.01898830
31,5.451785,1786955129.427860,2587,50000,1,2587,192,1748,0.074217,0.224277,1,1,0,0.347170,upperArm_Link,0,0.586122,-0.433979,0.385963,,,,,predicted_track_not_dynamic,RUNNING,1,44,4,0,1.786746,0.371240,0.000203,0.000359,2.824971,69,0.034065,0.027883,0.006224,0.023355,0.013903,0.105923,7,0.023800,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.369641,0.347370,,0,1.000000,SAFE,1,current,50000,179.6276,0.96762949,-0.19862740,1.34662473,-0.02552214,1.57079637,0.96761113,-0.01961464,0.02784797,0.03525363,0.00698219,0.00000000,-0.01975598
32,5.632161,1786955129.607517,2627,50000,1,2627,214,1691,0.081462,0.224711,1,1,0,0.347976,upperArm_Link,0,0.583812,-0.429138,0.378314,,,,,predicted_track_not_dynamic,RUNNING,1,49,5,0,1.994676,0.367024,0.000395,0.000671,3.032850,74,0.034560,0.033082,0.007667,0.032162,0.001108,0.109764,8,0.017985,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.010149,0.365931,0.333254,,0,1.000000,SAFE,1,current,50000,176.4187,0.96408248,-0.19374157,1.35278702,-0.02431536,1.57079637,0.96408617,-0.01966463,0.02708699,0.03416370,0.00669041,0.00000000,-0.01954237
33,5.807803,1786955129.783955,2601,50000,1,2601,185,1809,0.071126,0.224869,1,1,0,0.345263,upperArm_Link,0,0.587538,-0.423314,0.383767,,,,,predicted_track_not_dynamic,RUNNING,1,53,4,0,2.160510,0.363737,0.000199,0.000330,3.198997,78,0.033893,0.018700,0.010713,0.015306,-0.000819,0.108801,9,0.016326,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.016291,0.362929,0.345865,,0,1.000000,SAFE,1,current,50000,174.7313,0.96063823,-0.18903917,1.35861194,-0.02311224,1.57079637,0.96063823,-0.01960948,0.02677262,0.03316356,0.00684979,0.00000000,-0.01963052
34,5.988027,1786955129.958704,2650,50000,1,2650,212,1798,0.080000,0.224570,1,1,0,0.340826,upperArm_Link,0,0.589193,-0.416553,0.378687,,,,,predicted_track_not_dynamic,RUNNING,1,57,4,0,2.327031,0.360436,0.000097,0.000151,3.365223,82,0.033049,0.039554,-0.004403,0.037840,-0.010642,0.110057,10,0.016220,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.020992,0.359135,0.336669,,0,1.000000,SAFE,1,current,50000,176.4934,0.95703250,-0.18423772,1.36454320,-0.02191280,1.57079637,0.95706552,-0.02000693,0.02664162,0.03291053,0.00665531,0.00000000,-0.01982371
35,6.157992,1786955130.135214,2590,50000,1,2590,198,1710,0.076448,0.224740,1,1,0,0.367347,upperArm_Link,0,0.590512,-0.420473,0.386580,,,,,predicted_track_not_dynamic,RUNNING,1,61,4,0,2.493019,0.357048,0.000102,0.000151,3.530943,86,0.032440,0.040862,0.032615,0.024570,-0.001502,0.115342,11,0.012934,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.355530,0.364605,,0,1.000000,SAFE,1,current,50000,184.6890,0.95363224,-0.17971504,1.37011492,-0.02085641,1.57079637,0.95363963,-0.02000561,0.02660939,0.03278147,0.00621534,0.00000000,-0.02015641
36,6.344435,1786955130.319922,2560,50000,1,2560,228,1704,0.089063,0.225946,1,1,0,0.331165,upperArm_Link,0,0.590800,-0.412442,0.384834,,,,,predicted_track_not_dynamic,RUNNING,1,66,5,0,2.700459,0.352932,0.000295,0.000466,3.737831,91,0.032778,0.027272,0.019853,0.016439,0.008908,0.113611,12,0.014731,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.351835,0.321595,,0,1.000000,SAFE,1,current,50000,182.9155,0.94986886,-0.17481822,1.37616706,-0.01978168,1.57079637,0.94985420,-0.02018513,0.02626443,0.03246105,0.00576439,0.00000000,-0.02030342
37,6.528891,1786955130.502856,2659,50000,1,2659,265,1811,0.099662,0.223773,1,1,0,0.323475,upperArm_Link,0,0.583474,-0.409287,0.383188,,,,,predicted_track_not_dynamic,RUNNING,1,70,4,0,2.866533,0.349627,0.000106,0.000143,3.903754,95,0.031758,0.019081,-0.011523,0.014550,0.004427,0.116701,13,0.016013,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.348217,0.320473,,0,1.000000,SAFE,1,current,50000,191.1692,0.94607246,-0.16998008,1.38210928,-0.01871428,1.57079637,0.94606513,-0.02058161,0.02622925,0.03221489,0.00578673,0.00000000,-0.02054186
38,6.720595,1786955130.694042,2558,50000,1,2558,253,1726,0.098905,0.225593,1,1,0,0.339282,upperArm_Link,0,0.583236,-0.399949,0.385955,,,,,predicted_track_not_dynamic,RUNNING,1,75,5,0,3.074448,0.345436,0.000198,0.000495,4.111125,100,0.031772,0.026409,0.009528,0.013567,0.020556,0.117594,14,0.010364,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.344539,0.318878,,0,1.000000,SAFE,1,current,50000,162.6857,0.94216967,-0.16507226,1.38813961,-0.01763221,1.57079637,0.94214028,-0.02035844,0.02560102,0.03145643,0.00564448,0.00000000,-0.02047348
39,6.883017,1786955130.856746,2515,50000,1,2515,270,1782,0.107356,0.225854,1,1,0,0.335783,upperArm_Link,0,0.588519,-0.400266,0.384564,,,,,predicted_track_not_dynamic,RUNNING,1,79,4,0,3.240574,0.342138,0.000297,0.000499,4.277571,104,0.031585,0.025864,-0.007733,0.024679,0.000285,0.118917,15,0.012343,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.341437,0.306665,,0,1.000000,SAFE,1,current,50000,168.6410,0.93870711,-0.16082469,1.39327109,-0.01670053,1.57079637,0.93870336,-0.02131824,0.02615147,0.03159350,0.00573617,0.00000000,-0.02116044
40,7.049865,1786955131.025406,2589,50000,1,2589,272,1799,0.105060,0.223819,1,1,0,0.341640,upperArm_Link,0,0.591989,-0.392432,0.381582,,,,,predicted_track_not_dynamic,RUNNING,1,83,4,0,3.406729,0.338834,0.000303,0.000477,4.443751,108,0.031175,0.017356,0.001262,0.017306,-0.000353,0.119141,16,0.016390,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.338330,0.304773,,0,1.000000,SAFE,1,current,50000,167.5856,0.93525541,-0.15658078,1.39838064,-0.01582754,1.57079637,0.93524444,-0.02068781,0.02543590,0.03062411,0.00523227,0.00000000,-0.02073104
41,7.222906,1786955131.193009,2503,50000,1,2503,260,1667,0.103875,0.226150,1,1,0,0.323098,upperArm_Link,0,0.587824,-0.389065,0.382294,,,,,predicted_track_not_dynamic,RUNNING,1,87,4,0,3.572092,0.335529,0.000100,0.000348,4.608476,112,0.030489,0.033296,0.000308,0.032050,-0.009020,0.118846,17,0.021897,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.011198,0.334635,0.297906,,0,1.000000,SAFE,1,current,50000,191.7806,0.93152875,-0.15212412,1.40366638,-0.01494721,1.57079637,0.93153608,-0.02153619,0.02575478,0.03054603,0.00508736,0.00000000,-0.02143044
42,7.416115,1786955131.384819,2542,50000,1,2542,251,1725,0.098741,0.224798,1,1,0,0.325671,upperArm_Link,0,0.587316,-0.385747,0.382651,,,,,predicted_track_not_dynamic,RUNNING,1,92,5,0,3.779311,0.331318,0.000401,0.000624,4.816150,117,0.030316,0.044737,-0.026515,0.024924,-0.026022,0.118425,18,0.028118,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.017310,0.330918,0.300558,,0,1.000000,SAFE,1,current,50000,175.1846,0.92734355,-0.14721264,1.40957916,-0.01401554,1.57079637,0.92738754,-0.02166150,0.02542054,0.03060300,0.00482212,0.00000000,-0.02147177
