condition,frame,host_read_start_s,camera_timestamp_s,host_receive_timestamp_s,state_host_timestamp_s,frame_valid,error_message,raw_points,cropped_points,downsampled_points,scene_points_after_self_filter,robot_surface_points,q_actual_1,q_actual_2,q_actual_3,q_actual_4,q_actual_5,q_actual_6,preprocess_ms,state_fk_ms,self_filter_ms,end_to_end_ms,risk_state,hold
start,42,1785915489.927238,1785915489.871034,1785915489.945085,1785915490.005965,1,,863776,36941,3440,2596,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,28.4249,1.0757,10.6836,89.8688,SAFE,0
start,43,1785915490.017168,1785915489.971262,1785915490.035099,1785915490.094514,1,,865246,37153,3450,2573,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.7355,1.1237,11.2862,89.1007,SAFE,0
start,44,1785915490.106330,1785915490.071203,1785915490.124373,1785915490.186950,1,,863698,37090,3422,2554,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,28.3578,1.0741,10.4710,91.5535,SAFE,0
start,45,1785915490.197945,1785915490.137829,1785915490.216133,1785915490.273930,1,,862964,36682,3357,2525,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.5956,1.0871,10.8492,87.3002,SAFE,0
start,46,1785915490.285305,1785915490.237763,1785915490.303284,1785915490.363625,1,,863630,36826,3500,2635,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.5958,1.2050,11.5606,90.3989,SAFE,0
start,47,1785915490.375765,1785915490.337693,1785915490.394463,1785915490.453078,1,,865134,37344,3525,2662,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.5422,1.1241,11.4885,89.2919,SAFE,0
start,48,1785915490.465133,1785915490.404310,1785915490.484017,1785915490.544441,1,,864430,36545,3424,2544,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,28.7664,1.1295,11.0235,90.8145,SAFE,0
start,49,1785915490.556010,1785915490.504233,1785915490.573867,1785915490.635108,1,,862171,37171,3496,2631,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,30.2651,0.8676,10.9350,90.5297,SAFE,0
start,50,1785915490.646600,1785915490.604151,1785915490.665543,1785915490.731487,1,,865755,36862,3387,2560,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,28.6596,6.4170,19.9720,105.3627,SAFE,0
start,51,1785915490.752028,1785915490.704065,1785915490.782301,1785915490.841476,1,,862028,36583,3460,2618,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.8336,1.1449,13.0782,102.9893,SAFE,0
start,52,1785915490.855079,1785915490.803973,1785915490.872880,1785915490.931184,1,,864075,36656,3398,2547,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.6625,1.1193,11.1866,87.7527,SAFE,0
start,53,1785915490.942894,1785915490.903878,1785915490.960824,1785915491.019535,1,,864062,36945,3430,2577,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57080007,-0.09148429,27.8361,1.0792,11.0368,88.1509,SAFE,0
start,54,1785915491.031106,1785915490.970504,1785915491.048841,1785915491.108317,1,,862648,36687,3436,2585,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.7219,0.8399,11.1904,88.8755,SAFE,0
start,55,1785915491.120050,1785915491.070472,1785915491.137497,1785915491.198603,1,,864937,36985,3362,2522,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,28.9335,1.1374,11.0534,90.0665,SAFE,0
start,56,1785915491.210183,1785915491.170438,1785915491.228113,1785915491.284701,1,,865111,36892,3432,2556,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.6901,0.8343,10.9153,85.9103,SAFE,0
start,57,1785915491.296154,1785915491.237079,1785915491.313962,1785915491.371479,1,,861991,37150,3465,2605,50000,-0.09148429,-0.04078114,1.52892947,-0.00107840,1.57079637,-0.09148429,27.1672,1.1638,11.2038,87.0303,SAFE,0
start,58,1785915491.383244,1785915491.337039,1785915491.401285,1785915491.458812,1,,864451,37245,3462,2625,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.1836,1.5586,11.0500,87.0798,SAFE,0
start,59,1785915491.470391,1785915491.436996,1785915491.488072,1785915491.546547,1,,863714,36885,3412,2561,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.2063,1.1381,10.2136,86.8402,SAFE,0
start,60,1785915491.557291,1785915491.503633,1785915491.575165,1785915491.635485,1,,862787,36795,3473,2595,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.6218,1.1396,11.6267,90.3314,SAFE,0
start,61,1785915491.647692,1785915491.603584,1785915491.666401,1785915491.725914,1,,863833,37224,3411,2547,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,28.1603,1.1374,10.9009,89.6198,SAFE,0
